gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,LDT_NAS_score,LDT_NAS_best_res,SuFEx_CTR_score,SuFEx_CTR_best_res,Traditional_Acrylamide_score,Traditional_Acrylamide_best_res,best_strategy
ITGA6,303,0.2732082657903898,0.3361344534990467,0.100344773050767,0.3621701749184701,0.006108,57,16,LYS,P23229,4.673,0.995,-0.0980383326903611,Non-essential,80.4,19.9,12.3,0.3283757957169756,269,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR13C9,297,0.2738556831041771,0.2605042014617612,0.0934113553692867,0.4721019863622887,0.007962,16,13,LYS,Q8NGT0,-9.966,0.0,0.0874295889343941,Non-essential,82.9,19.2,5.7,0.3283548059445103,270,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CHRNA1,345,0.2681540298895385,0.352941176173999,0.0113996520638937,0.4118588793359027,0.006946,22,4,LYS,P02708,-1.831,0.226,-0.0163004385610806,Non-essential,84.0,16.0,9.0,0.3283440445108487,271,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
DAGLB,165,0.2942649501330438,0.2773109241367135,0.1080816068321999,0.5030536614289949,0.008484,34,12,LYS,Q8NCG7,3.462,1.0,-0.1057557759141638,Non-essential,72.5,36.6,20.2,0.3282426405131484,272,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC13A2,338,0.2693027635516219,0.3277310921615705,0.0337814328641467,0.4269196560924992,0.0072,22,5,LYS,Q13183,-4.608,0.157,-0.1276006212786238,Non-essential,83.2,16.7,7.8,0.3281811544957111,273,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC39A12,163,0.29468589313595,0.252100840124285,0.1357456903368654,0.5104061666172546,0.008608,33,21,LYS,Q504Y0,-6.506,0.063,0.1283872821235427,Non-essential,69.4,36.6,26.0,0.3281732582820297,274,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR56B4,275,0.2765371060702951,0.2605042014617612,0.0735916495334493,0.5008597687518529,0.008447,11,8,LYS,Q8NH76,-5.574,0.001,0.0630381032206219,Non-essential,80.9,21.9,6.3,0.327889325082942,275,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CNTNAP3,307,0.2728557571929891,0.201680672099428,0.1368464336549106,0.5037651941891491,0.008496,62,19,LYS,Q9BZ76,-0.711,0.369,-0.1296032518072491,Non-essential,82.9,18.1,9.1,0.3276411421958147,276,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR52A5,466,0.2560032603213438,0.2605042014617612,0.0414929622014866,0.464512303587311,0.007834,8,10,LYS,Q9H2C5,-9.966,0.0,-0.0253493126721044,Non-essential,89.5,5.1,2.2,0.3275777869588158,277,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC17A1,394,0.2633950453513513,0.2605042014617612,0.0982698086351415,0.4323747405870144,0.007292,15,13,LYS,Q14916,-9.966,0.12,0.0239868706087585,Non-essential,86.7,11.3,4.3,0.3275376078171554,278,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
KCNV2,219,0.283535861806967,0.2605042014617612,0.1481511940534556,0.449629410020753,0.007583,17,16,LYS,Q8TDN2,-5.574,0.012,0.0765803577199415,Non-essential,75.4,28.1,20.6,0.3275216215301686,279,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR10G2,412,0.2617361454879403,0.2605042014617612,0.0679550846117349,0.4571597983990512,0.00771,13,11,LYS,Q8NGC3,-9.966,0.0,-0.0385170206405129,Non-essential,87.3,10.0,2.6,0.3274551912643129,280,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CD4,359,0.2669561604605671,0.3949579828613799,0.0046307132690178,0.3586125111176994,0.006048,12,4,LYS,P01730,4.084,0.995,0.0203211814081461,Non-essential,85.2,16.6,8.7,0.3274461000981622,281,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
NIPAL3,221,0.2830395024337211,0.3109243694866181,0.0594654436185355,0.4694337385117106,0.007917,14,10,LYS,Q6P499,3.473,0.991,0.0806918538222472,Non-essential,75.1,28.8,23.9,0.3272483248528778,282,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TLR9,387,0.2640986705665021,0.2605042014617612,0.0461236754705045,0.4868662911354876,0.008211,54,4,LYS,Q9NR96,-3.458,0.014,-0.110994529630587,Non-essential,86.7,12.2,6.2,0.3272239621631144,283,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC10A2,325,0.2705252045230002,0.2605042014617612,0.034755653961727,0.5196560924992587,0.008764,19,8,LYS,Q12908,-9.966,0.051,0.0822145471121943,Non-essential,82.7,17.8,8.6,0.3269794071268628,284,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
QSOX1,207,0.2856083918471499,0.302521008149142,0.0716432073382887,0.4770234212866883,0.008045,24,8,LYS,O00391,6.196,1.0,-0.0637499711102651,Non-essential,77.7,31.1,27.3,0.3269490100084439,285,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SPINT2,254,0.2786127010031919,0.5630252096109033,0.002853076071485,0.1751556477912837,0.002954,4,3,LYS,O43291,8.748,0.996,-0.1036752153022064,Non-essential,81.1,29.8,6.7,0.3267610043295083,286,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TCTN3,175,0.2919646883874852,0.3109243694866181,0.0151573620117033,0.5434924399644233,0.009166,23,5,LYS,Q6NUS6,4.639,1.0,-0.0451569246310591,Non-essential,71.2,36.9,22.6,0.326585979814348,287,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR10G8,455,0.2573940795550656,0.2605042014617612,0.0598260319468606,0.4508152979543433,0.007603,12,8,LYS,Q8NGN5,-9.966,0.0,-0.0365377087116808,Non-essential,88.2,7.4,1.3,0.3264368029869174,288,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR7G1,489,0.2542433617416757,0.2605042014617612,0.0590479202910011,0.441091016898903,0.007439,14,11,LYS,Q8NGA0,-9.966,0.0,-0.1975860956061401,Non-essential,89.4,4.8,1.6,0.3264112048090924,289,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
FLVCR1,236,0.2812894027601285,0.3277310921615705,0.0907543887395223,0.4099021642454787,0.006913,14,22,LYS,Q9Y5Y0,2.111,0.973,0.0071237650925438,Non-essential,77.6,28.6,22.9,0.3262700205027999,290,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC44A4,420,0.2605390986289437,0.6050420162982841,0.0422331171912067,0.01950785650756,0.000329,43,8,TYR,Q53GD3,2.868,0.668,-0.061387200089668,Non-essential,83.5,16.3,4.9,0.3258999491290911,291,0.0424,LYS,0.1363,TYR,0.1154,CYS,SuFEx_CTR
ABCA9,263,0.277278484840182,0.1932773107619518,0.2517349359481259,0.4148235991698784,0.006996,89,36,LYS,Q8IUA7,-1.685,0.167,0.0786626386963116,Non-essential,77.2,23.4,6.7,0.3258866925461842,292,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR56A5,521,0.2516895808658394,0.2605042014617612,0.0649438557646686,0.4266824785057811,0.007196,9,5,LYS,P0C7T3,-9.966,0.001,0.1193801753890426,Non-essential,87.7,3.5,2.6,0.3255830540792288,293,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ELFN2,96,0.3148841746078059,0.2857142854741897,0.1354863197849122,0.5331752149421879,0.008992,13,16,LYS,Q5R3F8,-6.506,0.03,-0.0183634730322967,Non-essential,61.0,56.6,46.0,0.3255653835977414,294,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
HLA-DMB,408,0.262201893907408,0.4285714282112846,0.0073509410090147,0.2952268010672991,0.004979,4,4,LYS,P28068,5.524,0.998,0.0702640753870508,Non-essential,89.2,15.2,2.3,0.325444435393028,295,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC39A8,211,0.2850441313403476,0.352941176173999,0.0691823501502451,0.4103765194189149,0.006921,20,10,LYS,Q9C0K1,3.315,0.988,-0.0288835635188183,Non-essential,73.1,33.0,19.8,0.3254191290531896,296,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ADAM18,271,0.27696542223462,0.2605042014617612,0.1059117507512256,0.4699673880818262,0.007926,36,22,LYS,Q9Y3Q7,-9.966,0.026,0.1872692958715173,Non-essential,78.4,24.9,14.2,0.3252462552198794,297,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC28A2,348,0.2678609797929337,0.252100840124285,0.035597026727819,0.5211384524162466,0.008789,38,8,LYS,O43868,-5.012,0.061,-0.0418838921883748,Non-essential,82.1,17.2,9.3,0.3252191638295162,298,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ADCY9,168,0.2929203318642535,0.2268907561118565,0.2839601455005535,0.3899199525644826,0.006576,67,45,LYS,O60503,2.446,0.957,0.0857985557980745,Non-essential,70.2,37.7,28.5,0.3251817891554088,299,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
FOLH1,532,0.2513078648543636,0.3613445375114751,0.0408097422109758,0.3150904239549362,0.005314,37,12,LYS,Q04609,1.061,0.728,-0.1559645983670048,Non-essential,93.8,5.3,3.9,0.3251456296704943,300,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
RHO,442,0.2586143194155761,0.2605042014617612,0.0774126205914913,0.4372961755114141,0.007375,11,13,LYS,P08100,-6.506,0.001,-0.0451410340865922,Non-essential,88.7,9.8,4.9,0.3250536695373427,301,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLCO2B1,257,0.2781527878862284,0.2605042014617612,0.1358405820022141,0.4439964423361991,0.007488,28,17,LYS,O94956,3.674,0.975,0.1055692935352604,Non-essential,78.3,26.1,16.9,0.3250357265962197,302,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR5P3,459,0.2567565763602436,0.2605042014617612,0.0421065949707417,0.4664097242810553,0.007866,15,12,LYS,Q8WZ94,-9.966,0.0,0.0666848434511739,Non-essential,87.1,8.4,3.2,0.3249055503245657,303,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CD86,243,0.2804831782082025,0.4201680668738084,0.0063830460224576,0.3683367921731396,0.006212,7,3,LYS,P42081,2.098,0.886,-0.0219579420069468,Non-essential,80.1,31.0,17.6,0.3247387829547322,304,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR10A7,503,0.253221801340655,0.2605042014617612,0.0475786810058516,0.4491550548473169,0.007575,17,13,LYS,Q8NGE5,-9.966,0.0,-0.1332831363900876,Non-essential,90.1,5.7,0.6,0.3246599044749085,305,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EPHB4,365,0.2658326174090904,0.3193277308240944,0.0638367863356001,0.3965016305959086,0.006687,42,7,LYS,P54760,4.788,0.999,0.0431262575413304,Non-essential,82.0,17.2,10.1,0.3246493100213102,306,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CD200R1L,323,0.2707047199734667,0.2605042014617612,0.037962992250514,0.5170471390453601,0.00872,8,9,LYS,Q6Q8B3,-9.966,0.0,-0.0555353356796449,Non-essential,83.1,20.3,10.0,0.324629003335585,307,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CRB3,134,0.3016078685801487,0.7478991590353788,0.0081606832199905,0.0,0.0,2,0,,Q9BUF7,4.601,0.842,0.0198179758563213,Non-essential,69.4,54.2,17.5,0.3246048764673802,308,0.0212,LYS,0.0446,HIS,0.0577,CYS,Traditional_Acrylamide
TACR2,291,0.2747526490342081,0.2436974787868088,0.1129400600980547,0.4779721316335606,0.008061,11,14,LYS,P21452,-1.056,0.247,-0.0093469511684017,Non-essential,79.8,23.6,17.6,0.3244221655082869,309,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TGFA,120,0.3062193151916068,0.3949579828613799,0.0201802941641625,0.4739401126593536,0.007993,4,8,LYS,P01135,2.354,0.794,0.0162143283833545,Non-essential,66.5,52.5,22.5,0.3242653957073619,310,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
VCAM1,424,0.2603601768028023,0.3697478988489514,0.0064146765775739,0.3684553809664986,0.006214,17,1,LYS,P19320,3.084,0.937,-0.0173947393469422,Non-essential,84.3,13.9,6.4,0.3242292789831511,311,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CTLA4,227,0.2822655707340156,0.3445378148365229,0.0006832199905108,0.4808182626741772,0.008109,3,3,LYS,P16410,-0.472,0.414,-0.006255071902417,Non-essential,80.1,31.8,9.0,0.324163605858955,312,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR2A14,371,0.2653199327700659,0.2605042014617612,0.0539300964731931,0.4831307441446783,0.008148,17,13,LYS,Q96R47,-9.966,0.0,-0.1149157865088963,Non-essential,83.9,16.5,2.9,0.3239416806660843,313,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CXCR6,347,0.2679092372426227,0.3697478988489514,0.0963276925510042,0.3037058997924696,0.005122,13,14,LYS,O00574,0.736,0.64,0.1445709062986649,Non-essential,82.1,20.5,11.4,0.3239201626830014,314,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC14A2,326,0.2705071732788117,0.252100840124285,0.0683726079392693,0.497183516157723,0.008385,33,13,LYS,Q15849,-4.293,0.07,-0.0633496344893048,Non-essential,82.4,21.1,19.6,0.3235243250677478,315,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR56B1,386,0.2641138341027081,0.2605042014617612,0.0786082555748853,0.4544322561517936,0.007664,11,8,LYS,Q8NGI3,-9.966,0.0,0.0679332836955449,Non-essential,83.5,16.4,4.0,0.3230365984432861,316,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
FLT1,220,0.2831710731254111,0.2352941174493327,0.1218472244187885,0.5083308627334717,0.008573,53,19,LYS,P17948,2.786,0.966,0.0223068127479687,Non-essential,72.6,31.9,23.6,0.3229974628953315,317,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GPC5,240,0.2805898362610716,0.2436974787868088,0.1203605883283251,0.4900088941595019,0.008264,29,8,LYS,P78333,-3.816,0.127,0.107422015016635,Non-essential,77.9,29.9,25.0,0.3229864881973398,318,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR4F5,575,0.2482552784806395,0.2605042014617612,0.0144804681322157,0.4656981915209012,0.007854,14,3,LYS,Q8NH21,-9.966,0.0,-0.0466652303483056,Non-essential,90.4,3.3,0.7,0.3229211354248956,319,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EDNRA,239,0.2806125349997466,0.302521008149142,0.0251652696504823,0.5068485028164837,0.008548,24,7,LYS,P25101,2.118,0.856,0.1279991043672003,Non-essential,74.4,31.1,25.1,0.3227857959689412,320,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SEMA7A,417,0.2607302914396897,0.302521008149142,0.1069492329590384,0.3587903943077379,0.006051,29,18,LYS,O75326,2.011,0.872,-0.0311142371931029,Non-essential,89.1,14.6,8.1,0.3227172596688937,321,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR2Y1,516,0.2521582989923465,0.2605042014617612,0.0221540408034161,0.4710346872220574,0.007944,11,7,LYS,Q8NGV0,-9.966,0.0,0.0354959425398834,Non-essential,89.5,6.8,2.9,0.3226736525179848,322,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC12A7,372,0.2652300485839822,0.302521008149142,0.0491349043175707,0.4316039134301808,0.007279,59,4,LYS,Q9Y666,4.34,0.996,0.0003754857198754,Non-essential,80.8,18.4,12.0,0.3226670572891376,323,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ADAM23,246,0.2802222489365068,0.2184873947743803,0.1566028783805155,0.4861547583753334,0.008199,36,24,LYS,O75077,-0.216,0.468,0.0509757172821998,Non-essential,76.1,29.6,19.8,0.3225599973599953,324,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GABRA6,341,0.2688747984904822,0.2605042014617612,0.0037577099478095,0.5451526830714497,0.009194,17,2,LYS,Q16445,-9.966,0.001,0.037854216236374,Non-essential,82.1,21.0,15.0,0.3224040687664312,325,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR2L2,554,0.2496778927521153,0.2605042014617612,0.0148347303495176,0.4700859768751852,0.007928,13,6,LYS,Q8NH16,-9.966,0.002,-0.0122297102164478,Non-essential,90.2,5.1,2.6,0.3223066473177921,326,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR7A17,751,0.235861274669875,0.2605042014617612,0.0209584058200221,0.4179069077972131,0.007048,15,8,LYS,O14581,-9.966,0.0,-0.3939782371116585,Context-dependent,85.4,13.6,3.6,0.3222927989159251,327,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TLR5,481,0.2546905195106317,0.2941176468116659,0.0126965048236596,0.4441150311295582,0.00749,31,6,LYS,O60602,1.258,0.774,0.0224382285656892,Non-essential,88.8,9.9,4.4,0.3222440603723875,328,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TM4SF5,454,0.2574218414860468,0.2605042014617612,0.0091032737624545,0.5016305959086866,0.00846,6,5,LYS,O14894,-9.966,0.252,0.059550521542486,Non-essential,86.0,11.7,3.6,0.3221599379294017,329,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CNTN5,428,0.2598177840146292,0.2773109241367135,0.0103938004111972,0.4859175807886153,0.008195,37,3,LYS,O94779,-4.293,0.066,0.0734167852742717,Non-essential,82.6,14.1,11.5,0.3220366687478029,330,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ICOSLG,333,0.2698730589446324,0.3193277308240944,0.0075154198956191,0.4662911354876963,0.007864,7,2,LYS,O75144,1.444,0.877,0.0335326410813979,Non-essential,82.6,23.2,15.9,0.3220163446342619,331,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SORCS2,327,0.2704939227675815,0.252100840124285,0.1924909062154041,0.3730210495108211,0.006291,67,27,LYS,Q96PQ0,0.6,0.596,0.053550298711824,Non-essential,77.9,22.6,17.7,0.3220132829750561,332,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR10K1,513,0.2522654351428498,0.2605042014617612,0.0392914755653961,0.4542543729617551,0.007661,17,11,LYS,Q8NGX5,-9.966,0.0,-0.1345181455637542,Non-essential,88.2,7.7,1.9,0.3218629326434042,333,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR2L13,564,0.2489975389231419,0.2605042014617612,0.0237735252253677,0.4588793359027571,0.007739,9,6,LYS,Q8N349,-9.966,0.047,0.0272409494357514,Non-essential,90.2,5.1,3.2,0.3217396857936476,334,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CDON,138,0.3009280142980433,0.252100840124285,0.224266961885181,0.4426919656092499,0.007466,27,25,LYS,Q4KMG0,1.098,0.747,-0.007569024153888,Non-essential,62.0,48.4,36.7,0.3215750259171075,335,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLCO5A1,180,0.2900763391865743,0.2773109241367135,0.0926965048236596,0.5044767269493032,0.008508,31,21,LYS,Q9H2Y9,-2.548,0.156,0.0658377815520717,Non-essential,70.4,40.0,32.1,0.3213521313910904,336,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP2B2,273,0.2767983770386609,0.2184873947743803,0.1278760082239443,0.5034687222057516,0.008491,61,12,LYS,Q01814,-4.035,0.231,-0.0591183053271417,Non-essential,73.4,28.0,21.0,0.3213067707784571,337,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
HCAR3,349,0.2677750368594367,0.302521008149142,0.0975233275343982,0.391698784464868,0.006606,15,14,LYS,P49019,-1.283,0.333,0.0497915699587065,Non-essential,79.2,22.0,19.1,0.3211878808520162,338,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR6V1,519,0.2517390353747384,0.2605042014617612,0.0595350308397912,0.4322561517936554,0.00729,12,8,LYS,Q8N148,-9.966,0.0,0.0012714473992366,Non-essential,87.0,8.0,0.3,0.3211242661699781,339,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR6N2,518,0.2517474425568531,0.2605042014617612,0.0175233275343982,0.4742958790394306,0.007999,16,9,LYS,Q8NGY6,-9.966,0.0,0.0419123189475744,Non-essential,89.3,8.2,4.1,0.3209312721550736,340,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR1L6,474,0.255216924346051,0.2605042014617612,0.0473509410090147,0.4560332048621405,0.007691,17,7,LYS,Q8NGR2,-9.966,0.0,-0.0768874557181271,Non-essential,85.6,11.2,3.5,0.3208225069794052,341,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ADAM22,223,0.2827615127626297,0.252100840124285,0.1351320575676103,0.4712718648087755,0.007948,35,28,LYS,Q9P0K1,-0.233,0.456,-0.0259929577163799,Non-essential,73.2,34.1,28.4,0.3207362746375962,342,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SELL,411,0.2617665475212331,0.3865546215239037,0.0030428594021825,0.3541061369700563,0.005972,3,2,LYS,P14151,1.938,0.844,0.0419416730347296,Non-essential,85.3,19.1,9.7,0.320481366626426,343,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EPHB1,433,0.2592689194305569,0.2268907561118565,0.0957140597817491,0.4659946635042988,0.007859,33,11,LYS,P54762,-0.512,0.402,0.0384881634752415,Non-essential,83.6,14.4,7.8,0.3204389454606617,344,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC18A1,300,0.2737465067619657,0.3277310921615705,0.055353471453424,0.4201600948710347,0.007086,23,7,LYS,P54219,-5.012,0.051,0.1054405276328052,Non-essential,77.2,28.2,19.0,0.3203842738376643,345,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC26A4,409,0.2621730794086455,0.252100840124285,0.0406515894353945,0.4971242217610436,0.008384,43,7,LYS,O43511,-2.548,0.148,-0.0412460930982591,Non-essential,82.7,17.4,10.5,0.3202792468426093,346,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR4A47,905,0.2213232942550309,0.2605042014617612,0.0218314091412304,0.3685739697598577,0.006216,17,9,LYS,Q6IF82,-9.966,0.001,-0.4668210792128485,Context-dependent,91.8,3.6,1.0,0.3201778152368884,347,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TRIL,212,0.2847661246481059,0.302521008149142,0.1872465601771311,0.3586125111176994,0.006048,20,21,LYS,Q7L0X0,1.043,0.679,0.1113825800527119,Non-essential,71.6,37.2,30.2,0.3201471206759073,348,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR7D4,531,0.2514046093509219,0.2605042014617612,0.0667214929622014,0.4239549362585235,0.00715,12,12,LYS,Q8NG98,-9.966,0.0,-0.1449988792264855,Non-essential,87.8,8.7,2.2,0.3201455778167976,349,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
MAS1,393,0.2634189806697262,0.2605042014617612,0.0470599399019452,0.4836643937147938,0.008157,17,12,LYS,P04201,-9.966,0.004,0.0794265937282628,Non-essential,83.5,18.8,11.1,0.3200575539158011,350,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR3A1,506,0.2530226256199803,0.2605042014617612,0.0593072908429542,0.4367625259412985,0.007366,15,11,LYS,P47881,-9.966,0.003,-0.0318365557860273,Non-essential,86.8,10.2,4.8,0.3199939247076796,351,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
LINGO2,416,0.2609418857921847,0.252100840124285,0.0296694606990352,0.5040023717758672,0.0085,20,8,LYS,Q7L985,-5.012,0.073,0.0842292763907763,Non-essential,84.8,16.7,14.2,0.3199532521622253,352,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CYSLTR1,407,0.2622828476530355,0.2857142854741897,0.0905962359639411,0.4027275422472576,0.006792,10,14,LYS,Q9Y271,-0.134,0.464,0.0433335315521034,Non-essential,85.7,18.4,7.1,0.3199309444687661,353,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
DISP1,164,0.2943340049911662,0.2605042014617612,0.2269555590700616,0.406818855618144,0.006861,57,22,LYS,Q96F81,1.351,0.853,0.0215419790168817,Non-essential,64.9,44.7,38.9,0.3199200741836678,354,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR52D1,539,0.2507575359673308,0.2605042014617612,0.0804554799936738,0.4080640379484138,0.006882,10,8,LYS,Q9H346,-9.966,0.0,-0.0106149419524536,Non-essential,88.3,8.5,2.5,0.3198063499971383,355,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ITGB2,555,0.2496023386592913,0.4117647055363322,0.0315799462280563,0.2514082419211384,0.00424,27,16,LYS,P05107,4.918,0.997,0.0211139749640581,Non-essential,85.8,10.1,4.2,0.3197646939750149,356,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR13C3,285,0.2754098409115766,0.2605042014617612,0.0887490115451526,0.481944856211088,0.008128,16,14,LYS,Q8NGS6,-9.966,0.0,-0.0141535624117006,Non-essential,77.8,29.1,15.0,0.3197499374506766,357,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
MDGA1,440,0.2587715184493264,0.2184873947743803,0.0488122726553851,0.5224429291431959,0.008811,32,11,LYS,Q8NFP4,0.723,0.659,0.0089191664648978,Non-essential,84.6,14.6,8.5,0.3196843886206784,358,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GPR84,354,0.267426797386949,0.3193277308240944,0.0691507195951288,0.3965016305959086,0.006687,14,8,LYS,Q9NQS5,-0.357,0.422,-0.0908149748494233,Non-essential,80.7,23.5,19.7,0.3196777933361924,359,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
KIRREL2,258,0.2781089438840164,0.2773109241367135,0.0325857978807528,0.5246961162170174,0.008849,12,9,LYS,Q6UWL6,-4.293,0.137,0.0263852028708976,Non-essential,75.4,31.8,26.6,0.3195793019722923,360,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
