gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank
GPR149,174,0.2919737614762153,0.2605042014617612,0.1746765775739364,0.4512303587310998,0.00761,23,23,LYS,Q86SP6,-9.966,0.011,-0.04678825483842365,Non-essential,54.0,67.2,60.7,0.29545320458787544,688
GPR180,780,0.2337351139514468,0.2941176468116659,0.2227739996836944,0.1641861844055736,0.002769,16,21,LYS,Q86V85,1.171,0.895,0.0318412763628303,Non-essential,81.2,19.3,8.6,0.2953812224064001,689
GRIA3,816,0.2306704739705111,0.2184873947743803,0.0377985133639095,0.4397865401719537,0.007417,43,9,LYS,P42263,-2.178,0.223,0.10934166864405845,Non-essential,83.6,15.5,7.4,0.2953668515549989,690
OR4S1,960,0.2162626702591052,0.2605042014617612,0.0187189625177921,0.3548176697302104,0.005984,12,6,LYS,Q8NGB4,-9.966,0.0,-0.1385362550858526,Non-essential,88.8,4.2,1.3,0.29536062857361706,691
SLC2A11,940,0.2181661603553645,0.2352941174493327,0.0819800727502767,0.3315149718351615,0.005591,20,13,LYS,Q9BYW1,3.128,0.991,-0.0356377657012426,Non-essential,88.5,5.6,4.8,0.29512670225362597,692
OR52N2,920,0.220291724232151,0.2605042014617612,0.0750782856239127,0.3118885265342425,0.00526,9,6,LYS,Q8NGI0,-9.966,0.005,0.08149751050105694,Non-essential,89.7,7.8,4.0,0.2951181735511552,693
OR9Q1,865,0.225011055007251,0.2605042014617612,0.0164542147714692,0.3862436999703527,0.006514,15,3,LYS,Q8NGQ5,-9.966,0.0,0.056569012331805196,Non-essential,84.6,11.9,2.6,0.2949509491970719,694
MALRD1,510,0.2525771380889154,0.2436974787868088,0.1656745215878538,0.3513193003261191,0.005925,109,29,LYS,Q5VYJ5,-3.171,0.117,0.07648760165849244,Non-essential,71.3,34.6,13.1,0.29494257305387633,695
PHEX,995,0.2138014574240262,0.2857142854741897,0.0227360430175549,0.3089831010969463,0.005211,44,6,LYS,P78562,-1.938,0.182,0.06131159077741135,Non-essential,94.3,3.1,1.6,0.2948297859445917,696
OR4S2,948,0.2174839594700804,0.2605042014617612,0.0160303653329115,0.361577230951675,0.006098,12,6,LYS,Q8NH73,-9.966,0.0,-0.06856918065190079,Non-essential,88.3,5.8,1.3,0.29477836958276304,697
CD1C,885,0.223082134195309,0.3109243694866181,0.0803605883283251,0.2486806996738808,0.004194,9,7,LYS,P29017,-0.338,0.442,-0.00030534413881625,Non-essential,88.5,11.4,7.2,0.29468385132086783,698
UBAC2,483,0.2545350790549324,0.3193277308240944,0.0738510200854025,0.3488289356655796,0.005883,21,7,LYS,Q8NBM4,5.807,1.0,0.05702185411289935,Non-essential,72.1,37.8,12.2,0.2946346947261786,699
PCDHGB2,612,0.2449568989121132,0.252100840124285,0.00893879487585,0.471449747998814,0.007951,14,6,LYS,Q9Y5G2,-0.404,0.419,0.01282360625965575,Non-essential,75.7,28.7,26.9,0.2946324297621658,700
OR4B1,947,0.2176251688460221,0.2605042014617612,0.01739047920291,0.3606878150014823,0.006083,15,7,LYS,Q8NGF8,-9.966,0.0,-0.15842430939275437,Non-essential,87.0,6.1,1.6,0.2945960440627145,701
HTR3E,765,0.2346480280409603,0.2605042014617612,0.0233180452316938,0.4115031129558256,0.00694,23,6,LYS,A5X5Y0,-9.966,0.008,0.0188667866873279,Non-essential,80.8,20.4,15.8,0.29448176005849624,702
P2RY4,763,0.234742990600764,0.2605042014617612,0.0210849280404871,0.4140527720130447,0.006983,13,8,LYS,P51582,-5.012,0.006,0.1814297896125397,Non-essential,82.6,20.5,17.0,0.2944608955249994,703
MILR1,431,0.2594745909894971,0.2941176468116659,0.0084833148821761,0.4642751260005929,0.00783,6,8,LYS,Q7Z6M3,1.595,0.846,-0.28162565366787107,Non-essential,74.5,41.7,26.2,0.29443078660477534,704
SUSD2,936,0.2184176772816524,0.252100840124285,0.0271453424007591,0.3647791283723688,0.006152,40,11,LYS,Q9UGT4,2.011,0.849,-0.08271387844751074,Non-essential,90.9,6.8,4.0,0.29441641173678174,705
TM9SF3,899,0.2218923648840838,0.3109243694866181,0.1844883757709948,0.1405870145271271,0.002371,26,18,LYS,Q9HD45,5.461,1.0,-0.04465782263332125,Non-essential,86.6,10.7,2.7,0.2943923768948468,706
SLC36A4,764,0.2347205941456041,0.2268907561118565,0.0561632136643998,0.4237177586718054,0.007146,15,8,LYS,Q6YBV0,1.99,0.923,0.1111829139186866,Non-essential,81.9,20.0,16.5,0.2943820077232011,707
TMEM245,468,0.2558082887543808,0.2605042014617612,0.0194970741736517,0.4858582863919359,0.008194,32,10,LYS,Q9H330,3.808,0.999,0.007286543736222751,Non-essential,68.9,38.3,20.9,0.2942153106530133,708
SLC17A8,644,0.2432297714306547,0.2941176468116659,0.0331361695397754,0.385472872813519,0.006501,21,8,LYS,Q8NDX2,-6.506,0.037,0.04653171781472425,Non-essential,77.9,28.4,19.5,0.2941934369724067,709
OR5M11,934,0.2184606965706069,0.2605042014617612,0.0457314565870631,0.3351319300326119,0.005652,10,11,LYS,Q96RB7,-9.966,0.002,-0.07391431462961565,Non-essential,87.8,7.2,1.3,0.29419231716653516,710
PTCHD4,806,0.2315709452306466,0.2689075627992374,0.0814297010912541,0.3319300326119181,0.005598,47,15,LYS,Q6ZW05,-2.114,0.208,0.0298194286417134,Non-essential,82.3,18.3,4.8,0.29415758040552614,711
CUZD1,699,0.239734972026146,0.252100840124285,0.0127597659338921,0.4502223539875481,0.007593,22,7,LYS,Q86UP6,-1.43,0.108,0.02947304674757105,Non-essential,79.2,24.9,15.2,0.2940808240238598,712
ANKH,895,0.2221496877030737,0.302521008149142,0.1161473983868416,0.2209902164245478,0.003727,21,13,LYS,Q9HCJ1,5.037,0.997,-0.0035449634409954,Non-essential,84.5,11.2,6.3,0.29396675655504706,713
TACR3,517,0.2521388992311277,0.2605042014617612,0.0483567926617112,0.4447672694930328,0.007501,17,7,LYS,P29371,-9.966,0.004,-0.04488709281269135,Non-essential,72.8,35.5,32.5,0.2939574860503024,714
CACNG8,202,0.2867155665914953,0.252100840124285,0.0488755337656175,0.5707085680403201,0.009625,10,15,LYS,Q8WXS5,-5.012,0.072,0.1089871519943799,Non-essential,58.6,64.2,49.2,0.2939313194949842,715
FAP,1017,0.2116592132260219,0.352941176173999,0.0176878064210026,0.2172546694337385,0.003664,35,5,LYS,Q12884,2.568,0.847,-0.00616637687672655,Non-essential,95.6,3.4,1.4,0.29386503062458497,716
ACVR1,801,0.2319179344782105,0.3193277308240944,0.0319025778902419,0.3153868959383338,0.005319,18,8,LYS,Q04771,4.099,0.998,0.0569688295379259,Non-essential,83.1,19.8,12.0,0.293787074245577,717
CALHM2,783,0.2335182271471947,0.1848739494244757,0.1393072908429543,0.3925882004150607,0.006621,13,14,LYS,Q9HA72,3.454,0.992,0.05121444763277855,Non-essential,81.1,18.9,5.3,0.29377975511307025,718
TAS2R1,732,0.2374684778465843,0.2605042014617612,0.0404871105487901,0.4037355469908093,0.006809,18,9,LYS,Q9NYW7,-9.966,0.001,0.11181756090849825,Non-essential,80.1,23.7,3.3,0.2935321348965163,719
VNN2,929,0.2190246509865765,0.2773109241367135,0.0284042384943855,0.3319300326119181,0.005598,20,6,LYS,O95498,0.19,0.543,0.0617351422039836,Non-essential,91.7,8.7,5.8,0.2934423912244256,720
F2RL2,650,0.2430315359020718,0.3277310921615705,0.0226411513522062,0.3504891787726059,0.005911,25,9,LYS,O00254,-0.687,0.41,0.1016373047513493,Non-essential,76.3,29.7,14.7,0.2932884647877527,721
KCNJ3,511,0.2523600495645136,0.2184873947743803,0.0184279614107227,0.5314556774384821,0.008963,24,6,LYS,P48549,-3.816,0.25,-0.03907012566295255,Non-essential,72.0,35.7,33.3,0.2932414978833343,722
OR4C11,972,0.2153124926970971,0.2605042014617612,0.0180420686383046,0.3523273050696709,0.005942,13,6,LYS,Q6IEV9,-9.966,0.0,-0.06637902659394646,Non-essential,90.0,5.8,1.0,0.2929688139386103,723
UPK2,668,0.2414901109638501,0.3277310921615705,0.0043397121619484,0.363652534835458,0.006133,9,3,LYS,O00526,-1.781,0.236,-0.09294744807493185,Non-essential,76.8,28.8,1.6,0.29290394400590125,724
SLC1A1,767,0.2345746989769437,0.2941176468116659,0.0369571405978174,0.352801660243107,0.00595,24,7,LYS,P43005,1.768,0.76,0.1097302939736753,Non-essential,80.2,22.5,14.9,0.29288087659431417,725
MS4A1,414,0.2613780034394485,0.2689075627992374,0.0269176024039221,0.4857989919952564,0.008193,12,7,LYS,P11836,-1.355,0.344,0.1269765763824559,Non-essential,70.5,44.8,25.3,0.29249679557952774,726
NPBWR2,862,0.2250650085007699,0.2605042014617612,0.1127502767673572,0.2901274829528609,0.004893,15,17,LYS,P48146,-9.966,0.008,-0.13244211690025154,Non-essential,82.9,14.4,11.1,0.29249591044167095,727
UTS2R,624,0.244152474723019,0.252100840124285,0.0938352048078443,0.3838719241031722,0.006474,14,14,LYS,Q9UKP6,-5.574,0.04,0.0043520702858383005,Non-essential,76.2,30.3,23.1,0.2923620762712539,728
GPR75,283,0.2757515721605654,0.2436974787868088,0.1337023564763561,0.4605395790097835,0.007767,19,23,LYS,O95800,-1.026,0.245,-0.11562982785513815,Non-essential,63.9,56.5,39.1,0.292354601446918,729
VNN1,939,0.2182750722363323,0.302521008149142,0.0203384469397437,0.3038837829825081,0.005125,16,5,LYS,O95497,-0.759,0.371,0.080563797241358,Non-essential,92.4,9.6,8.8,0.2923379103327627,730
GLIPR1,827,0.228611099901945,0.3109243694866181,0.0494575359797564,0.2980136377112363,0.005026,8,11,LYS,P48060,3.227,0.969,-0.055353035134756395,Non-essential,87.1,18.4,8.6,0.2922913227430645,731
SLC24A5,680,0.2408298630342101,0.2605042014617612,0.0639063735568559,0.3915209012748295,0.006603,22,13,LYS,Q71RS6,-9.966,0.024,0.0441442158547628,Non-essential,76.4,27.8,19.4,0.2922332892195378,732
SLC46A3,898,0.2220579439544375,0.2436974787868088,0.0545753597975644,0.3606878150014823,0.006083,16,14,LYS,Q7Z3Q1,2.665,0.95,-0.10259396865823756,Non-essential,86.9,11.9,4.8,0.2922099112751448,733
HCRTR1,667,0.241559204931581,0.2605042014617612,0.093316463703938,0.3645419507856507,0.006148,20,13,LYS,O43613,-5.574,0.008,-0.22664743230252105,Non-essential,78.8,28.5,19.1,0.2921410741340136,734
OR4C12,1032,0.2100892919615578,0.2605042014617612,0.0168780642100268,0.3360806403794841,0.005668,13,9,LYS,Q96R67,-9.966,0.0,-0.0889426542007723,Non-essential,90.2,2.3,0.6,0.29211614665899416,735
GPR3,786,0.2332146257135472,0.2773109241367135,0.0992440297327218,0.3083901571301511,0.005201,11,11,LYS,P46089,-0.533,0.372,-0.0072700310815247,Non-essential,81.8,22.1,13.6,0.29186737016356795,736
HRH1,526,0.251525167194276,0.3193277308240944,0.0937023564763561,0.3189445597391046,0.005379,14,17,LYS,P35367,1.64,0.804,0.080380222068246,Non-essential,70.0,38.2,34.3,0.2917264348422982,737
ICAM2,820,0.2301689191914288,0.2268907561118565,0.0016194844219516,0.4630892380670026,0.00781,3,4,LYS,P13598,3.918,0.998,0.0740867997406423,Non-essential,87.1,18.9,2.9,0.29168894526138833,738
ERMAP,759,0.2350182542181013,0.252100840124285,0.0059908271390162,0.4412689000889415,0.007442,17,4,LYS,Q96PL5,2.436,0.987,-0.049008958095668645,Non-essential,81.3,23.4,18.5,0.29165022585048916,739
SERINC3,641,0.2433495480369136,0.2689075627992374,0.0433718171753914,0.4092499258820041,0.006902,23,14,LYS,Q13530,5.717,1.0,-0.0723388631644091,Non-essential,76.3,30.7,20.7,0.291573082744082,740
DAG1,398,0.2629741451067615,0.3193277308240944,0.0346228056302388,0.4161873702935072,0.007019,20,9,LYS,Q14118,5.156,1.0,-0.03031829334711745,Non-essential,68.2,47.9,38.0,0.29156724976936954,741
SLC4A8,619,0.2444034683807104,0.2689075627992374,0.0673414518424798,0.3887933590275719,0.006557,65,13,LYS,Q2Y0W8,-0.735,0.375,-0.03733522502967105,Non-essential,72.4,31.6,20.3,0.29155134969724605,742
P2RX7,933,0.2186916746469611,0.2268907561118565,0.0200474458326743,0.4064037948413874,0.006854,32,5,LYS,Q99572,0.507,0.625,-0.1113531082170082,Non-essential,88.0,9.6,3.7,0.29142457480766526,743
GPR6,686,0.2405915715793222,0.2605042014617612,0.0759196583900047,0.3787133115920545,0.006387,10,12,LYS,P46095,-9.966,0.01,-0.0493481077334567,Non-essential,77.6,28.5,22.7,0.2913347130071312,744
GRID1,646,0.2431935523896716,0.2184873947743803,0.035723548948284,0.4836050993181144,0.008156,52,11,LYS,Q9ULK0,-0.533,0.401,0.01362968088834025,Non-essential,75.0,30.0,16.4,0.29130275023763275,745
PTCH1,623,0.2441768392120231,0.1932773107619518,0.2378681005851652,0.3183516157723094,0.005369,60,30,LYS,Q13635,1.708,0.885,0.02473458401985135,Non-essential,73.9,30.4,27.1,0.29130198785605177,746
GFRA3,640,0.2434008624050748,0.2184873947743803,0.0505266487426854,0.4694930329083901,0.007918,17,9,LYS,O60609,-2.388,0.242,-0.026729331226412148,Non-essential,79.0,30.2,21.2,0.291275508583802,747
MCOLN1,841,0.2272793177511249,0.2436974787868088,0.0531836153724497,0.3794841387488882,0.0064,24,14,LYS,Q9GZU1,4.096,1.0,0.0703906684192644,Non-essential,81.3,17.6,12.8,0.29086105610571755,748
APP,452,0.2577310095256645,0.3193277308240944,0.0550941009014708,0.3782389564186184,0.006379,35,4,LYS,P05067,8.364,1.0,0.08054667707188126,Non-essential,67.4,44.5,35.7,0.29059797011845534,749
MS4A6A,571,0.2483438743159814,0.3445378148365229,0.0066740471295271,0.3617551141417136,0.006101,4,3,LYS,Q9H2W1,5.037,0.996,-0.036743907776030454,Non-essential,74.5,37.1,24.2,0.2905955255105932,750
EPHA5,796,0.232372357534131,0.2352941174493327,0.0488122726553851,0.4120367625259413,0.006949,40,11,LYS,P54756,-6.506,0.075,-0.0360946671422219,Non-essential,79.4,22.0,16.7,0.29056519990259805,751
CD1A,1009,0.2125647213615515,0.4705882348986654,0.0652664874268543,0.0158316039134301,0.000267,10,4,TYR,P06126,-2.466,0.243,0.06637750783362295,Non-essential,88.6,9.5,6.4,0.290480405049604,752
SLC41A1,768,0.2345387825025121,0.2268907561118565,0.0577510675312351,0.4215238659946634,0.007109,24,7,LYS,Q8IVJ1,3.609,0.991,0.03915714963807325,Non-essential,77.9,23.8,19.3,0.29043049802062443,753
OR4E1,982,0.2143904512312492,0.2605042014617612,0.0087426854341293,0.3585532167210198,0.006047,15,3,LYS,P0C645,-9.966,0.0,0.4224955286929039,Non-essential,87.1,7.6,5.1,0.2904004460504037,754
ATRN,831,0.2280950639449315,0.3277310921615705,0.1139142811956349,0.2094278090720426,0.003532,54,18,LYS,O75882,3.828,0.998,-0.041416086382463996,Non-essential,78.8,20.2,11.8,0.29034140482346904,755
RXFP1,853,0.226039432950175,0.2689075627992374,0.0769255100427012,0.3179958493922324,0.005363,31,10,LYS,Q9HBX9,-3.047,0.088,0.08586047938963626,Non-essential,81.1,17.6,11.4,0.29024798683846653,756
OR10J1,951,0.2170864846442934,0.2605042014617612,0.0238367863356001,0.3524458938630299,0.005944,14,7,LYS,P30954,-9.966,0.0,0.10523386860728576,Non-essential,85.7,10.0,5.9,0.29024714056127393,757
GRM7,894,0.2222485519949741,0.252100840124285,0.0705108334651273,0.3341832196857396,0.005636,36,14,LYS,Q14831,-4.608,0.056,-0.03395982886883825,Non-essential,84.4,14.3,6.7,0.29010880733121647,758
TCTN2,592,0.2462168846729334,0.3193277308240944,0.0426253360746481,0.3523273050696709,0.005942,35,8,LYS,Q96GX1,3.052,0.977,-0.07415832919187104,Non-essential,74.5,35.4,10.0,0.2901028660745128,759
CHRM3,426,0.26022078101378,0.2605042014617612,0.0601170330539301,0.4599466350429884,0.007757,20,17,LYS,P20309,-0.759,0.403,0.059865929304835794,Non-essential,66.7,46.1,38.6,0.29009238753584604,760
OR5H15,984,0.2143326823782122,0.2605042014617612,0.0575865886446307,0.3095167506670619,0.00522,18,9,LYS,A6NDH6,-9.966,0.0,-0.0992460370616667,Non-essential,88.9,8.0,2.9,0.2899523053395396,761
VN1R1,749,0.2361749670203974,0.252100840124285,0.0350466550687964,0.4160687815001482,0.007017,24,13,LYS,Q9GZP7,-1.117,0.216,0.018438347680568,Non-essential,77.6,26.1,14.2,0.28991415318573593,762
TMPRSS6,938,0.2183465421486777,0.2773109241367135,0.0899446465285465,0.2681292617847613,0.004522,41,17,LYS,Q8IU80,-2.635,0.236,-0.00681302297032735,Non-essential,84.5,11.7,6.3,0.28987730052617666,763
SLC37A4,823,0.2298754774668484,0.3277310921615705,0.0617997785861141,0.2674770234212866,0.004511,13,13,LYS,O43826,4.205,1.0,,No data,85.8,7.2,4.2,0.28982508275839985,764
SLC4A10,615,0.2447396252709939,0.2605042014617612,0.0767610311560968,0.391698784464868,0.006606,66,14,LYS,Q6U841,-5.012,0.085,0.0058210117021429,Non-essential,71.2,33.5,22.9,0.2897914244168576,765
C3AR1,507,0.2530168049499089,0.3613445375114751,0.1256049343665981,0.2359916987844648,0.00398,12,17,LYS,Q16581,2.611,0.925,0.012551856632936599,Non-essential,68.8,42.1,36.7,0.28976974641678205,766
NCSTN,1036,0.2094105338136394,0.3277310921615705,0.0170045864304918,0.2440557367328787,0.004116,44,4,LYS,Q92542,6.361,1.0,-0.0540789597445341,Non-essential,89.4,5.4,2.3,0.2895709630473923,767
RNF13,643,0.2432409378699699,0.2941176468116659,0.0188834414043966,0.3997628224132818,0.006742,11,3,LYS,O43567,5.407,1.0,0.016865220575199402,Non-essential,74.4,33.1,23.9,0.2895027423385027,768
ADAM20,860,0.2252244039923795,0.2605042014617612,0.0220275185829511,0.3813815594426326,0.006432,40,4,LYS,O43506,-5.012,0.001,0.1153230367758461,Non-essential,83.0,17.8,6.3,0.28922874001801235,769
DCC,596,0.2459900391619184,0.2605042014617612,0.0187885497390479,0.4538393121849985,0.007654,34,5,LYS,P43146,-4.608,0.077,0.0907602115886187,Non-essential,68.2,35.2,29.4,0.28913343599262803,770
OR1P1,727,0.2376779073811298,0.2605042014617612,0.0441499288312509,0.4007708271568336,0.006759,16,8,LYS,Q8NH06,-9.966,0.0,,No data,82.7,13.3,7.9,0.28910665950863756,771
OR11H1,651,0.2430204870643638,0.2605042014617612,0.0174284358690495,0.4453009190631485,0.00751,16,7,LYS,Q8NG94,-9.966,0.0,,No data,81.3,17.8,8.0,0.2890588092446659,772
RTN4RL1,584,0.247259555452918,0.2436974787868088,0.0411007433180452,0.458167803142603,0.007727,10,9,LYS,Q86UN2,-0.166,0.478,-0.0147102041005791,Non-essential,76.0,36.1,35.1,0.28901125419054513,773
HRH2,819,0.2304011934785949,0.2352941174493327,0.0636470030049027,0.3906314853246368,0.006588,14,15,LYS,P25021,-0.941,0.312,0.1076407211934355,Non-essential,82.9,22.0,13.6,0.28892256318965137,774
IL1RAP,1002,0.2131617126106376,0.3193277308240944,0.0067373082397596,0.2780314260302401,0.004689,13,4,LYS,Q9NPH3,2.167,0.917,0.0495813572304559,Non-essential,86.1,9.1,6.7,0.288856889355933,775
LRFN5,588,0.2468638994092033,0.2268907561118565,0.0205661869365807,0.4997924696116217,0.008429,19,3,LYS,Q96NI6,-2.932,0.147,0.06883132782002174,Non-essential,73.9,35.7,28.9,0.2888014287762004,776
PCDHGB3,724,0.237938719220083,0.252100840124285,0.0074837893405029,0.449510821227394,0.007581,18,3,LYS,Q9Y5G1,-2.178,0.101,-0.0616737080805243,Non-essential,75.4,28.7,26.2,0.288783946685474,777
CR2,757,0.2353055188259175,0.302521008149142,0.0153218408983077,0.3656685443225614,0.006167,29,4,LYS,P20023,-3.458,0.186,0.013416197726126951,Non-essential,74.9,27.4,6.3,0.288729949157417,778
GPR37L1,467,0.2559116651066339,0.2689075627992374,0.0834667088407401,0.4110287577823895,0.006932,17,16,LYS,O60883,-3.458,0.096,-0.14744515087203408,Non-essential,67.8,44.1,30.8,0.2886415136355155,779
CHRM1,603,0.2456476188062203,0.2352941174493327,0.0627044124624387,0.4423954936258523,0.007461,20,18,LYS,P11229,-4.248,0.195,-0.0946655453741798,Non-essential,74.7,35.0,30.7,0.2886279176293392,780
CRB1,750,0.235886518301259,0.252100840124285,0.0380578839158627,0.4120960569226207,0.00695,49,10,LYS,P82279,-4.035,0.091,0.00687201902376915,Non-essential,75.0,27.2,10.2,0.2885737792531206,781
CXCR3,867,0.2248774992503114,0.5378151255984748,0.0092614265380357,0.0232434034983694,0.000392,19,4,TYR,P49682,0.537,0.6,0.0348921559271487,Non-essential,80.5,22.8,12.8,0.28856150146856746,782
CADM2,761,0.2348170729209286,0.201680672099428,0.0073825715641309,0.5064334420397272,0.008541,8,2,LYS,Q8N3J6,-3.458,0.192,-0.008124257331542099,Non-essential,82.1,25.5,18.6,0.28854223863576434,783
OR4A5,1023,0.2110611952980937,0.2605042014617612,0.0124687648268227,0.3437296175511414,0.005797,16,7,LYS,Q8NH83,-9.966,0.0,-0.2580166775738488,Non-essential,88.4,6.7,3.2,0.2885260661061074,784
AGTR2,789,0.2330285100472959,0.2605042014617612,0.0767989878222362,0.3526237770530684,0.005947,15,11,LYS,P50052,-9.966,0.044,0.0369238327770345,Non-essential,82.0,25.1,9.6,0.2884321617304426,785
FZD6,631,0.2439778924780178,0.3277310921615705,0.0956444725604934,0.2806403794841387,0.004733,27,11,LYS,O60353,3.642,0.966,0.12953099659873596,Non-essential,72.4,35.6,29.3,0.28817709526770774,786
PCDHB12,870,0.224582504920212,0.252100840124285,0.0142527281353787,0.3982211680996145,0.006716,16,7,LYS,Q9Y5F1,-0.886,0.266,0.11086260808229655,Non-essential,81.5,18.2,15.6,0.2881537681022481,787
PIGT,968,0.2156898970707782,0.3277310921615705,0.058333069745374,0.2236584642751259,0.003772,25,7,LYS,Q969N2,6.52,1.0,-0.05296329451269405,Non-essential,87.3,12.1,2.9,0.2881037657616747,788
THSD7A,498,0.2538417443745434,0.2436974787868088,0.0925699826031946,0.4286391935962051,0.007229,84,10,LYS,Q9UPZ6,-0.735,0.361,0.1580980506198223,Non-essential,67.3,42.5,15.0,0.28809641162523303,789
PCDHGA11,700,0.2397273116279445,0.2436974787868088,0.0162897358848647,0.4578713311592054,0.007722,20,2,LYS,Q9Y5H2,-1.732,0.147,0.0795184362169952,Non-essential,75.2,30.8,24.6,0.2880343843364006,790
SCAP,1012,0.2122496609390632,0.2605042014617612,0.0774442511466076,0.2827156833679217,0.004768,65,6,LYS,Q12770,5.033,1.0,-0.997200438782876,Essential,65.3,43.2,29.9,0.28801645414024873,791
OR5T2,837,0.2278550665287253,0.2605042014617612,0.0275944962834097,0.3845834568633263,0.006486,22,9,LYS,Q8NGG2,-9.966,0.0,-0.077603868417881,Non-essential,80.6,21.4,8.6,0.28782095879830044,792
KLRC3,480,0.2547130183757298,0.2605042014617612,0.0015562233117191,0.5001482359916988,0.008435,3,2,LYS,Q07444,-4.035,0.075,0.2092673024876999,Non-essential,71.0,43.8,25.0,0.28780258533747094,793
LHFPL5,1031,0.2102314235246504,0.2941176468116659,0.0030112288470662,0.305603320486214,0.005154,7,3,LYS,Q8TAF8,-5.012,0.027,-0.05448491459984365,Non-essential,89.2,7.3,4.6,0.2877948137174031,794
GABRG3,729,0.2376083876255327,0.3193277308240944,0.0223501502451368,0.3439075007411799,0.0058,17,10,LYS,Q99928,-4.608,0.167,0.1092301169711708,Non-essential,75.2,30.6,28.1,0.2877291185350122,795
BACE1,913,0.2208764031842627,0.2268907561118565,0.0395445200063261,0.3941891491254076,0.006648,18,9,LYS,P56817,3.539,0.995,-0.09677149507462471,Non-essential,87.5,15.6,11.0,0.2872451819220832,796
SLC12A3,906,0.2213110198076747,0.2689075627992374,0.0399367388897675,0.3392232434034983,0.005721,54,13,LYS,P55017,-4.035,0.031,-0.0865411117380053,Non-essential,80.7,16.9,12.1,0.28700764255304956,797
ECE1,1018,0.2116549993759221,0.2605042014617612,0.036564921714376,0.3216128075896827,0.005424,37,8,LYS,P42892,5.466,1.0,-0.0881396537028036,Non-essential,90.9,8.8,7.4,0.2869209028376311,798
GLP1R,900,0.2218363062242374,0.2605042014617612,0.0290558279297801,0.3630595908686628,0.006123,21,8,LYS,P43220,-5.012,0.058,0.11251315092411776,Non-essential,81.5,17.3,11.4,0.28690532521122714,799
GPR137C,464,0.2560887384954659,0.2773109241367135,0.1464368179661553,0.3374444115031129,0.005691,19,15,LYS,Q8N3F9,-0.808,0.324,-0.17084093622384583,Non-essential,66.6,46.2,36.6,0.28682913081516676,800
TAS2R10,1000,0.2134558046187733,0.2605042014617612,0.0352743950656334,0.3289060183812629,0.005547,20,7,LYS,Q9NYW0,-4.035,0.002,-0.13433545254597773,Non-essential,87.2,10.4,2.0,0.2868215738733405,801
IZUMO3,994,0.2139929105748969,0.2605042014617612,0.0046307132690178,0.3613400533649569,0.006094,10,3,LYS,Q5VZ72,-9.966,0.001,0.18953381841758474,Non-essential,87.0,10.9,2.5,0.2867691621701101,802
SLC7A14,669,0.2414596156714443,0.1932773107619518,0.1197089988929305,0.4274533056626148,0.007209,26,13,LYS,Q8TBB6,-9.966,0.08,0.03315735940819685,Non-essential,72.7,32.7,24.5,0.28673763490556947,803
GSG1,478,0.2548321003834169,0.252100840124285,0.0282777162739206,0.4850281648384227,0.00818,14,6,LYS,Q2KHT4,-5.012,0.029,0.033531803657783146,Non-essential,70.7,45.0,26.6,0.2865617643215856,804
TRABD2B,529,0.2515164484533942,0.2100840334369042,0.1291032737624545,0.4291728431663207,0.007238,16,12,LYS,A6NFA1,-1.117,0.32,-0.13422282872001956,Non-essential,68.8,41.6,37.5,0.2864984409351103,805
IL13RA1,830,0.2282356226127633,0.3109243694866181,0.0090716432073382,0.3371479395197153,0.005686,16,5,LYS,P78552,5.089,0.999,0.04677936686903705,Non-essential,81.6,23.9,13.6,0.2864784250020797,806
OR52B4,842,0.2269383939112068,0.2605042014617612,0.0569729558753756,0.3521494218796323,0.005939,9,5,LYS,Q8NGK2,-9.966,0.0,,No data,87.5,7.0,1.9,0.2864570649503684,807
IGDCC4,648,0.2431353038720455,0.2352941174493327,0.0425304444092993,0.4541950785650755,0.00766,44,4,LYS,Q8TDY8,-0.233,0.457,-0.13615928088798934,Non-essential,70.3,35.1,28.0,0.28643432185086015,808
MR1,953,0.2169538674154107,0.3361344534990467,0.0181369603036533,0.2568633264156537,0.004332,18,6,LYS,Q95460,3.409,0.99,0.02711309972659685,Non-essential,87.5,15.0,5.9,0.2863971304044931,809
FGFR3,731,0.2375625525274824,0.3613445375114751,0.1001802941641625,0.2099021642454788,0.00354,27,9,LYS,P22607,3.08,0.85,0.05174588942351675,Non-essential,74.2,32.6,22.7,0.28639120273142665,810
OR2T35,1030,0.2103723504514993,0.2605042014617612,0.0584975486319784,0.2954046842573377,0.004982,16,10,LYS,Q8NGX2,-9.966,0.0,-0.17271610590395084,Non-essential,88.8,8.4,2.8,0.28625202873394545,811
NRP1,835,0.2279128481812954,0.2689075627992374,0.0470599399019452,0.3541061369700563,0.005972,33,9,LYS,O14786,4.265,0.997,0.06142314740075385,Non-essential,79.1,23.2,17.4,0.2862091661977335,812
EVC2,709,0.2391039247313816,0.2184873947743803,0.1306594970741736,0.3750370589979246,0.006325,65,12,LYS,Q86UK5,0.323,0.574,0.1365608769176328,Non-essential,72.7,31.7,22.9,0.2861947271890577,813
