gene,uniprot_id,n_pockets,max_pocket_volume,n_nucleophiles,ldt_score,top_res_type,tsi_norm,tsi,pocket_norm,ldt_norm,final_score,rank,plddt_below_70,plddt_term,composite_primary,rank_primary
CDH8,P55286,17,353.3,3,0.007598,LYS,0.2689075627992374,0.001,0.0223501502451368,0.4505188259709456,0.2494237179845196,559,26.5,0.735,0.2869523985460105,643
ADAM29,Q9UKF5,37,574.0,8,0.007591,LYS,0.2605042014617612,0.0,0.0363118772734461,0.4501037651941891,0.250126373324995,549,27.7,0.7230000000000001,0.28689597499219754,644
EMB,Q6PCB8,8,60.4,1,0.00631,LYS,0.3445378148365229,0.01,0.003820971058042,0.3741476430477319,0.2512057101663414,536,28.4,0.716,0.2868714372721286,645
SLC34A2,O95436,37,600.6,2,0.001805,LYS,0.5126050415860463,0.03,0.0379946228056302,0.1070263860065223,0.2485483192780642,568,30.7,0.6930000000000001,0.2868667478984358,646
ENPEP,Q07075,41,1049.6,12,0.00519,LYS,0.2773109241367135,0.002,0.0663988613000158,0.3077379187666765,0.2231654036746931,883,7.1,0.929,0.2868129615295236,647
PTPRT,O14522,65,774.7,14,0.006588,LYS,0.252100840124285,-0.001,0.0490083820971058,0.3906314853246368,0.2327322962762368,793,13.8,0.862,0.2867956800037907,648
FLT3,P36888,47,1511.9,10,0.006661,LYS,0.252100840124285,-0.001,0.0956444725604934,0.3949599762822413,0.2480216707025344,577,28.9,0.7110000000000001,0.2867686298822081,649
ACVR2B,Q13705,18,554.5,6,0.006182,LYS,0.2941176468116659,0.004,0.0350782856239127,0.3665579602727541,0.2381379324936664,720,18.6,0.814,0.2865041521394454,650
OR4A47,Q6IF82,17,345.1,9,0.006216,LYS,0.2605042014617612,0.0,0.0218314091412304,0.3685739697598577,0.2213232942550309,905,3.6,0.964,0.28626938569394994,651
GPRC5A,Q8NFJ5,13,146.9,2,0.002963,LYS,0.4873949575736176,0.027,0.0092930570931519,0.1756892973613993,0.2504526893658124,541,31.1,0.6890000000000001,0.28619847661906156,652
OR51A4,Q8NGJ6,20,815.6,4,0.005718,LYS,0.2605042014617612,0.0,0.0515957615056144,0.3390453602134598,0.2213940171004267,904,5.4,0.946,0.2860165390166657,653
GPR34,Q9UPC5,17,631.8,11,0.006216,LYS,0.3109243694866181,0.006,0.0399683694448837,0.3685739697598577,0.2469324495560697,587,27.0,0.73,0.28595753259374584,654
MUSK,O15146,39,905.7,15,0.007474,LYS,0.252100840124285,-0.001,0.0572955875375612,0.443166320782686,0.2509789085457882,537,30.3,0.6970000000000001,0.2859155505004396,655
SLC32A1,Q9H598,19,334.3,8,0.007742,LYS,0.2605042014617612,0.0,0.0211481891507195,0.4590572190927957,0.248263303057759,573,26.5,0.735,0.2857852320300312,656
CALHM2,Q9HA72,13,2202.1,14,0.006621,LYS,0.1848739494244757,-0.009,0.1393072908429543,0.3925882004150607,0.2335182271471947,783,18.9,0.811,0.285745119655218,657
DPP10,Q8N608,41,477.7,6,0.007059,LYS,0.2268907561118565,-0.004,0.0302198323580578,0.4185591461606878,0.2253899960003663,859,7.4,0.9259999999999999,0.2857175008867391,658
APCDD1,Q8J025,26,1603.6,16,0.006945,LYS,0.2100840334369042,-0.006,0.1014455163688122,0.4117995849392232,0.2380071437671723,722,21.2,0.788,0.2857129628483659,659
ERBB2,P04626,52,1258.5,12,0.004814,LYS,0.352941176173999,0.011,0.0796141072275818,0.2854432256151793,0.2506936703224279,540,33.1,0.669,0.285674450232969,660
CHRM2,P08172,16,801.8,10,0.008679,LYS,0.2352941174493327,-0.003,0.0507227581844061,0.5146160687815,0.2637192950695049,390,40.8,0.5920000000000001,0.2854237857579633,661
TARM1,B6A8C7,8,41.0,5,0.007652,LYS,0.2605042014617612,0.0,0.0025937055195318,0.4537207233916394,0.2410960092580558,678,20.3,0.7969999999999999,0.28508476301538577,662
EPHA4,P54764,31,549.9,5,0.007843,LYS,0.2100840334369042,-0.006,0.0347872845168432,0.4650459531574265,0.2339835846770426,778,15.2,0.848,0.285027085347326,663
OR5M8,Q8NGP6,20,205.3,8,0.006272,LYS,0.2605042014617612,0.0,0.012987505930729,0.3718944559739104,0.2196662691560963,925,3.2,0.968,0.2848463362843127,664
OR4P4,Q8NGL7,10,229.4,4,0.006413,LYS,0.2605042014617612,0.0,0.0145120986873319,0.3802549659057219,0.2226317999626206,890,5.8,0.942,0.2847938415942465,665
ANKH,Q9HCJ1,21,1836.0,13,0.003727,LYS,0.302521008149142,0.005,0.1161473983868416,0.2209902164245478,0.2221496877030737,895,11.2,0.888,0.2847741264743891,666
LRRN1,Q6UXK5,29,382.5,3,0.0064,LYS,0.2941176468116659,0.004,0.0241973746639253,0.3794841387488882,0.2387515127485104,713,20.3,0.7969999999999999,0.2847714234704827,667
TMEFF1,Q8IYR6,4,1000.5,14,0.007988,LYS,0.2773109241367135,0.002,0.0632927407876008,0.4736436406759561,0.2720052840937524,313,49.7,0.5029999999999999,0.28475755585311896,668
TMEM8B,A6NDV4,27,263.7,1,0.008439,LYS,0.2100840334369042,-0.006,0.0166819547683061,0.5003854135784168,0.2391538238787786,706,18.9,0.811,0.2847303515280125,669
CADM1,Q9BY67,9,305.7,3,0.005378,LYS,0.3613445375114751,0.012,0.0193389213980705,0.3188852653424251,0.2460050710267387,595,27.4,0.726,0.28459358088404374,670
CD40LG,P29965,7,129.5,1,0.006863,LYS,0.2941176468116659,0.004,0.0081923137751067,0.4069374444115031,0.2421859861806493,657,22.6,0.774,0.28453323161949085,671
P2RY12,Q9H244,17,792.1,18,0.006782,LYS,0.252100840124285,-0.001,0.050109125415151,0.4021345982804624,0.236513453158398,741,19.3,0.8069999999999999,0.28450168123816066,672
GPR137B,O60478,16,766.0,13,0.006795,LYS,0.3193277308240944,0.007,0.0484580104380831,0.4029054254372961,0.2631401230922515,396,42.6,0.5740000000000001,0.284428465279182,673
OR51A2,Q8NGJ7,12,826.4,7,0.005619,LYS,0.2605042014617612,0.0,0.0522789814961252,0.3331752149421879,0.2198379395161984,924,5.8,0.942,0.28435396869600094,674
VN1R3,Q9BXE9,16,1084.4,12,0.00678,LYS,0.2605042014617612,0.0,0.0686003479361062,0.4020160094871034,0.2453865878116674,604,28.0,0.72,0.2842605772642241,675
SLC2A11,Q9BYW1,20,1295.9,13,0.005591,LYS,0.2352941174493327,-0.003,0.0819800727502767,0.3315149718351615,0.2181661603553645,940,5.6,0.944,0.2842257058911398,676
FASLG,P48023,4,393.2,5,0.006077,LYS,0.3361344534990467,0.009,0.0248742685434129,0.3603320486214052,0.2500156765490641,551,31.0,0.69,0.2841923514430415,677
P2RX4,Q99571,19,228.3,4,0.004611,LYS,0.3361344534990467,0.009,0.0144425114660762,0.273406463089238,0.2208084737662129,915,6.2,0.938,0.2841314279367987,678
RPN1,P04843,25,284.2,2,0.003018,LYS,0.403361344198856,0.017,0.0179788075280721,0.1789504891787725,0.2204233266915958,918,7.2,0.9279999999999999,0.2841077350227143,679
GPR75,O95800,19,2113.5,23,0.007767,LYS,0.2436974787868088,-0.002,0.1337023564763561,0.4605395790097835,0.2757515721605654,283,56.5,0.43500000000000005,0.2840397192707358,680
CALCRL,Q16602,17,523.8,11,0.006062,LYS,0.3109243694866181,0.006,0.0331361695397754,0.3594426326712125,0.2421433884579436,658,24.7,0.753,0.2839250383500521,681
OR52N2,Q8NGI0,9,1186.8,6,0.00526,LYS,0.2605042014617612,0.0,0.0750782856239127,0.3118885265342425,0.220291724232151,920,7.8,0.922,0.28387208783235085,682
CD1C,P29017,9,1270.3,7,0.004194,LYS,0.3109243694866181,0.006,0.0803605883283251,0.2486806996738808,0.223082134195309,885,11.4,0.886,0.2837018807372841,683
OR52W1,Q6IF63,11,990.7,10,0.005478,LYS,0.2605042014617612,0.0,0.0626727819073224,0.3248147050103765,0.2204479266600141,917,7.5,0.925,0.28368198133640726,684
GRIN3A,Q8TCU5,53,584.2,2,0.007732,LYS,0.2605042014617612,-0.0,0.0369571405978174,0.4584642751260006,0.2528281053018499,508,33.2,0.6679999999999999,0.2836796814724618,685
GPR63,Q9BZJ6,17,786.4,11,0.007671,LYS,0.252100840124285,-0.001,0.0497485370868258,0.4548473169285502,0.2522190922543268,515,33.2,0.6679999999999999,0.283671684401685,686
KITLG,P21583,11,191.0,8,0.007883,LYS,0.302521008149142,0.005,0.0120828720544045,0.4674177290246071,0.2648585835833603,376,42.9,0.571,0.28346164672467283,687
EFNA2,O43921,8,97.3,1,0.001003,TYR,0.5714285709483794,0.037,0.0061553060256207,0.0594722798695523,0.2482597041479037,574,33.3,0.667,0.28341466160700707,688
DPEP2,Q9H4A9,15,166.4,5,0.007566,LYS,0.2689075627992374,0.001,0.0105266487426854,0.4486214052772012,0.2453074413256609,607,26.1,0.739,0.283330992921839,689
UBAC2,Q8NBM4,21,1167.4,7,0.005883,LYS,0.3193277308240944,0.007,0.0738510200854025,0.3488289356655796,0.2545350790549324,483,37.8,0.6220000000000001,0.2833272457304487,690
ALCAM,Q13740,13,34.8,4,0.004573,LYS,0.3697478988489514,0.013,0.0022014866360904,0.2711532760154165,0.2299055883350326,822,14.6,0.854,0.28326052959181425,691
PTCHD4,Q6ZW05,47,1287.2,15,0.005598,LYS,0.2689075627992374,0.001,0.0814297010912541,0.3319300326119181,0.2315709452306466,806,18.3,0.817,0.28322906546008886,692
NPBWR2,P48146,15,1782.3,17,0.004893,LYS,0.2605042014617612,0.0,0.1127502767673572,0.2901274829528609,0.2250650085007699,862,14.4,0.856,0.2831334242800388,693
RYK,P34925,21,608.3,4,0.006888,LYS,0.2689075627992374,0.001,0.0384817333544203,0.4084198043284909,0.2416334864245683,666,24.7,0.753,0.2830671180681819,694
EGF,P01133,30,731.6,10,0.007463,LYS,0.2689075627992374,0.001,0.0462818282460857,0.4425140824192113,0.2542017983192841,492,35.6,0.6439999999999999,0.2830307160583616,695
OR4E2,Q8NGC2,11,145.9,4,0.006417,LYS,0.2605042014617612,0.0,0.0092297959829195,0.3804921434924399,0.2211182624273123,909,6.1,0.9390000000000001,0.2829684451796023,696
KLRC2,P26717,3,79.9,2,0.008433,LYS,0.2773109241367135,0.002,0.0050545627075755,0.5000296471983396,0.2624496326264599,404,40.7,0.593,0.2828826040597073,697
TREM2,Q9NZC2,3,13.8,3,4.2e-05,LYS,0.6302521003107125,0.044,0.0008730033212082,0.0024903646605395,0.2531098505188093,505,38.7,0.613,0.2827727272702467,698
OR10T2,Q8NGX3,13,456.7,7,0.006241,LYS,0.2605042014617612,0.0,0.0288913490431757,0.3700563296768455,0.2238859842007108,875,9.9,0.901,0.2824579576437805,699
OR9A1P,Q8NGU1,19,250.4,5,0.006068,LYS,0.2605042014617612,0.0,0.0158405820022141,0.3597983990512896,0.2168933749007555,954,3.5,0.965,0.282378244875103,700
PCDHA12,Q9UN75,15,156.7,5,0.007506,LYS,0.2857142854741897,0.003,0.0099130159734303,0.4450637414764304,0.2507787414246341,538,31.9,0.681,0.2823398400771031,701
GRIA3,P42263,43,597.5,9,0.007417,LYS,0.2184873947743803,-0.005,0.0377985133639095,0.4397865401719537,0.2306704739705111,816,15.5,0.845,0.28225677722319437,702
DSG2,Q14126,20,353.8,4,0.001037,TYR,0.5966386549608079,0.04,0.022381780800253,0.0614882893566557,0.2638164830313959,389,48.7,0.5129999999999999,0.28221013581552257,703
TMX3,Q96JJ7,18,138.2,3,0.007759,LYS,0.2352941174493327,-0.003,0.0087426854341293,0.4600652238363474,0.2347600197608761,762,17.8,0.822,0.2821920526965921,704
SLC36A4,Q6YBV0,15,887.8,8,0.007146,LYS,0.2268907561118565,-0.004,0.0561632136643998,0.4237177586718054,0.2347205941456041,764,20.0,0.8,0.2821901684064211,705
UTS2R,Q9UKP6,14,1483.3,14,0.006474,LYS,0.252100840124285,-0.001,0.0938352048078443,0.3838719241031722,0.244152474723019,624,30.3,0.6970000000000001,0.28205383651164606,706
GPR3,P46089,11,1568.8,11,0.005201,LYS,0.2773109241367135,0.002,0.0992440297327218,0.3083901571301511,0.2332146257135472,786,22.1,0.779,0.28182957165020406,707
HCRTR1,O43613,20,1475.1,13,0.006148,LYS,0.2605042014617612,-0.0,0.093316463703938,0.3645419507856507,0.241559204931581,667,28.5,0.7150000000000001,0.2818068973192105,708
TSPAN17,Q96FV3,12,205.8,2,0.005136,LYS,0.3193277308240944,0.007,0.0130191364858453,0.3045360213459828,0.2229976396791861,887,10.0,0.9,0.28180445207068233,709
OR5AL1,P0C617,17,820.7,4,0.006724,LYS,0.2605042014617612,0.0,0.0519183931678001,0.3986955232730506,0.2393858555169596,704,24.9,0.751,0.28152586928021905,710
OR5M11,Q96RB7,10,722.9,11,0.005652,LYS,0.2605042014617612,0.0,0.0457314565870631,0.3351319300326119,0.2184606965706069,934,7.2,0.9279999999999999,0.2814788899958883,711
HRH1,P35367,14,1481.2,17,0.005379,LYS,0.3193277308240944,0.007,0.0937023564763561,0.3189445597391046,0.251525167194276,526,38.2,0.618,0.281411552666116,712
TACR3,P29371,17,764.4,7,0.007501,LYS,0.2605042014617612,0.0,0.0483567926617112,0.4447672694930328,0.2521388992311277,517,35.5,0.645,0.28137532568338797,713
CACNG8,Q8WXS5,10,772.6,15,0.009625,LYS,0.252100840124285,-0.001,0.0488755337656175,0.5707085680403201,0.2867155665914953,202,64.2,0.358,0.28137509618326506,714
OR4S1,Q8NGB4,12,295.9,6,0.005984,LYS,0.2605042014617612,0.0,0.0187189625177921,0.3548176697302104,0.2162626702591052,960,4.2,0.958,0.28129657669950664,715
C3AR1,Q16581,12,1985.5,17,0.00398,LYS,0.3613445375114751,0.012,0.1256049343665981,0.2359916987844648,0.2530168049499089,507,42.1,0.579,0.2810499931351119,716
ATRN,O75882,54,1800.7,18,0.003532,LYS,0.3277310921615705,0.008,0.1139142811956349,0.2094278090720426,0.2280950639449315,831,20.2,0.798,0.2810371188832508,717
PHEX,P78562,44,359.4,6,0.005211,LYS,0.2857142854741897,0.003,0.0227360430175549,0.3089831010969463,0.2138014574240262,995,3.1,0.969,0.2809665880954694,718
CD274,Q9NZQ7,6,132.6,4,0.00653,LYS,0.2773109241367135,0.002,0.0083884232168274,0.387192410317225,0.2295986197149011,825,15.5,0.845,0.28087345299220423,719
SLC17A8,Q8NDX2,21,523.8,8,0.006501,LYS,0.2941176468116659,0.004,0.0331361695397754,0.385472872813519,0.2432297714306547,644,28.4,0.716,0.2808502454493954,720
SUSD2,Q9UGT4,40,429.1,11,0.006152,LYS,0.252100840124285,-0.001,0.0271453424007591,0.3647791283723688,0.2184176772816524,936,6.8,0.9319999999999999,0.2807736788568197,721
OR9Q1,Q8NGQ5,15,260.1,3,0.006514,LYS,0.2605042014617612,0.0,0.0164542147714692,0.3862436999703527,0.225011055007251,865,11.9,0.881,0.28077365993564535,722
HTR3E,A5X5Y0,23,368.6,6,0.00694,LYS,0.2605042014617612,0.0,0.0233180452316938,0.4115031129558256,0.2346480280409603,765,20.4,0.796,0.280647662320081,723
OR4S2,Q8NH73,12,253.4,6,0.006098,LYS,0.2605042014617612,0.0,0.0160303653329115,0.361577230951675,0.2174839594700804,948,5.8,0.942,0.2805798878494086,724
TAS2R1,Q9NYW7,18,640.0,9,0.006809,LYS,0.2605042014617612,0.0,0.0404871105487901,0.4037355469908093,0.2374684778465843,732,23.7,0.763,0.2805564904239558,725
P2RY4,P51582,13,333.3,8,0.006983,LYS,0.2605042014617612,-0.0,0.0210849280404871,0.4140527720130447,0.234742990600764,763,20.5,0.795,0.28051514192702376,726
OR4B1,Q8NGF8,15,274.9,7,0.006083,LYS,0.2605042014617612,0.0,0.01739047920291,0.3606878150014823,0.2176251688460221,947,6.1,0.9390000000000001,0.28046556802286,727
SLC24A5,Q71RS6,22,1010.2,13,0.006603,LYS,0.2605042014617612,0.0,0.0639063735568559,0.3915209012748295,0.2408298630342101,680,27.8,0.722,0.28042860789738056,728
ACVR1,Q04771,18,504.3,8,0.005319,LYS,0.3193277308240944,0.007,0.0319025778902419,0.3153868959383338,0.2319179344782105,801,19.8,0.802,0.28038220314008905,729
TMEM245,Q9H330,32,308.2,10,0.008194,LYS,0.2605042014617612,0.0,0.0194970741736517,0.4858582863919359,0.2558082887543808,468,38.3,0.617,0.28019016436169586,730
GPR6,P46095,10,1200.1,12,0.006387,LYS,0.2605042014617612,0.0,0.0759196583900047,0.3787133115920545,0.2405915715793222,686,28.5,0.7150000000000001,0.2801306959266314,731
PCDHGB2,Q9Y5G2,14,141.3,6,0.007951,LYS,0.252100840124285,-0.001,0.00893879487585,0.471449747998814,0.2449568989121132,612,28.7,0.7130000000000001,0.2800793695059583,732
SLC46A3,Q7Z3Q1,16,862.7,14,0.006083,LYS,0.2436974787868088,-0.002,0.0545753597975644,0.3606878150014823,0.2220579439544375,898,11.9,0.881,0.27993867926502297,733
SLC4A8,Q2Y0W8,65,1064.5,13,0.006557,LYS,0.2689075627992374,0.001,0.0673414518424798,0.3887933590275719,0.2444034683807104,619,31.6,0.6839999999999999,0.27991842228937003,734
VNN2,O95498,20,449.0,6,0.005598,LYS,0.2773109241367135,0.002,0.0284042384943855,0.3319300326119181,0.2190246509865765,929,8.7,0.913,0.2798626031491449,735
MILR1,Q7Z6M3,6,134.1,8,0.00783,LYS,0.2941176468116659,0.004,0.0084833148821761,0.4642751260005929,0.2594745909894971,431,41.7,0.583,0.27985495234888413,736
GLIPR1,P48060,8,781.8,11,0.005026,LYS,0.3109243694866181,0.006,0.0494575359797564,0.2980136377112363,0.228611099901945,827,18.4,0.8160000000000001,0.27976419954205234,737
FAP,Q12884,35,279.6,5,0.003664,LYS,0.352941176173999,0.011,0.0176878064210026,0.2172546694337385,0.2116592132260219,1017,3.4,0.966,0.27974942094563504,738
SLC1A1,P43005,24,584.2,7,0.00595,LYS,0.2941176468116659,0.004,0.0369571405978174,0.352801660243107,0.2345746989769437,767,22.5,0.775,0.27972873362420503,739
CUZD1,Q86UP6,22,201.7,7,0.007593,LYS,0.252100840124285,-0.001,0.0127597659338921,0.4502223539875481,0.239734972026146,699,24.9,0.751,0.2797188123205544,740
F2RL2,O00254,25,357.9,9,0.005911,LYS,0.3277310921615705,0.008,0.0226411513522062,0.3504891787726059,0.2430315359020718,650,29.7,0.7030000000000001,0.279420522355363,741
TMPRSS6,Q8IU80,41,1421.8,17,0.004522,LYS,0.2773109241367135,0.002,0.0899446465285465,0.2681292617847613,0.2183465421486777,938,11.7,0.883,0.279374532852604,742
KCNJ3,P48549,24,291.3,6,0.008963,LYS,0.2184873947743803,-0.005,0.0184279614107227,0.5314556774384821,0.2523600495645136,511,35.7,0.643,0.27916289595387045,743
GPR137C,Q8N3F9,19,2314.8,15,0.005691,LYS,0.2773109241367135,0.002,0.1464368179661553,0.3374444115031129,0.2560887384954659,464,46.2,0.538,0.2791509717134745,744
RXFP1,Q9HBX9,31,1216.0,10,0.005363,LYS,0.2689075627992374,0.001,0.0769255100427012,0.3179958493922324,0.226039432950175,853,17.6,0.824,0.27909426234060153,745
OR4C11,Q6IEV9,13,285.2,6,0.005942,LYS,0.2605042014617612,0.0,0.0180420686383046,0.3523273050696709,0.2153124926970971,972,5.8,0.942,0.2788709173705255,746
MS4A1,P11836,12,425.5,7,0.008193,LYS,0.2689075627992374,0.001,0.0269176024039221,0.4857989919952564,0.2613780034394485,414,44.8,0.552,0.2788426756997238,747
GFRA3,O60609,17,798.7,9,0.007918,LYS,0.2184873947743803,-0.005,0.0505266487426854,0.4694930329083901,0.2434008624050748,640,30.2,0.698,0.2788018410209363,748
CD1A,P06126,10,1031.7,4,0.000267,TYR,0.4705882348986654,0.025,0.0652664874268543,0.0158316039134301,0.2125647213615515,1009,9.5,0.905,0.2787437294209467,749
SERINC3,Q13530,23,685.6,14,0.006902,LYS,0.2689075627992374,0.001,0.0433718171753914,0.4092499258820041,0.2433495480369136,641,30.7,0.6930000000000001,0.27874167360285157,750
GRM7,Q14831,36,1114.6,14,0.005636,LYS,0.252100840124285,-0.001,0.0705108334651273,0.3341832196857396,0.2222485519949741,894,14.3,0.857,0.2786343490044728,751
SLC4A10,Q6U841,66,1213.4,14,0.006606,LYS,0.2605042014617612,0.0,0.0767610311560968,0.391698784464868,0.2447396252709939,615,33.5,0.665,0.2786294759746625,752
MCOLN1,Q9GZU1,24,840.7,14,0.0064,LYS,0.2436974787868088,-0.002,0.0531836153724497,0.3794841387488882,0.2272793177511249,841,17.6,0.824,0.27852023687434,753
VNN1,O95497,16,321.5,5,0.005125,LYS,0.302521008149142,0.005,0.0203384469397437,0.3038837829825081,0.2182750722363323,939,9.6,0.904,0.2783548326797498,754
APP,P05067,35,870.9,4,0.006379,LYS,0.3193277308240944,0.007,0.0550941009014708,0.3782389564186184,0.2577310095256645,452,44.5,0.5549999999999999,0.27835267516352885,755
SLC41A1,Q8IVJ1,24,912.9,7,0.007109,LYS,0.2268907561118565,-0.004,0.0577510675312351,0.4215238659946634,0.2345387825025121,768,23.8,0.762,0.27831805139718613,756
DAG1,Q14118,20,547.3,9,0.007019,LYS,0.3193277308240944,0.007,0.0346228056302388,0.4161873702935072,0.2629741451067615,398,47.9,0.521,0.2782983900508815,757
UPK2,O00526,9,68.6,3,0.006133,LYS,0.3277310921615705,0.008,0.0043397121619484,0.363652534835458,0.2414901109638501,668,28.8,0.712,0.2781209296139987,758
CHRM3,P20309,20,950.3,17,0.007757,LYS,0.2605042014617612,0.0,0.0601170330539301,0.4599466350429884,0.26022078101378,426,46.1,0.5389999999999999,0.27809823918854254,759
GRID1,Q9ULK0,52,564.7,11,0.008156,LYS,0.2184873947743803,-0.005,0.035723548948284,0.4836050993181144,0.2431935523896716,646,30.0,0.7,0.2780889276850469,760
EPHA5,P54756,40,771.6,11,0.006949,LYS,0.2352941174493327,-0.003,0.0488122726553851,0.4120367625259413,0.232372357534131,796,22.0,0.78,0.2780058135353673,761
OR4C12,Q96R67,13,266.8,9,0.005668,LYS,0.2605042014617612,0.0,0.0168780642100268,0.3360806403794841,0.2100892919615578,1032,2.3,0.977,0.2779600498694955,762
FZD6,O60353,27,1511.9,11,0.004733,LYS,0.3277310921615705,0.008,0.0956444725604934,0.2806403794841387,0.2439778924780178,631,35.6,0.6439999999999999,0.2779593188957324,763
TRABD2B,A6NFA1,16,2040.8,12,0.007238,LYS,0.2100840334369042,-0.006,0.1291032737624545,0.4291728431663207,0.2515164484533942,529,41.6,0.584,0.277953604623233,764
OR5H15,A6NDH6,18,910.3,9,0.00522,LYS,0.2605042014617612,0.0,0.0575865886446307,0.3095167506670619,0.2143326823782122,984,8.0,0.92,0.27783163477177114,765
GPR37L1,O60883,17,1319.4,16,0.006932,LYS,0.2689075627992374,0.001,0.0834667088407401,0.4110287577823895,0.2559116651066339,467,44.1,0.5589999999999999,0.2778148490775525,766
EVC2,Q86UK5,65,2065.4,12,0.006325,LYS,0.2184873947743803,-0.005,0.1306594970741736,0.3750370589979246,0.2391039247313816,709,31.7,0.683,0.27772770204276637,767
THSD7A,Q9UPZ6,84,1463.3,10,0.007229,LYS,0.2436974787868088,-0.002,0.0925699826031946,0.4286391935962051,0.2538417443745434,498,42.5,0.575,0.27772491075539274,768
SLC7A14,Q8TBB6,26,1892.3,13,0.007209,LYS,0.1932773107619518,-0.008,0.1197089988929305,0.4274533056626148,0.2414596156714443,669,32.7,0.673,0.27772308485021596,769
P2RX7,Q99572,32,316.9,5,0.006854,LYS,0.2268907561118565,-0.004,0.0200474458326743,0.4064037948413874,0.2186916746469611,933,9.6,0.904,0.27742694709929894,770
AGTR2,P50052,15,1214.0,11,0.005947,LYS,0.2605042014617612,0.0,0.0767989878222362,0.3526237770530684,0.2330285100472959,789,25.1,0.749,0.27727211112155437,771
TCTN2,Q96GX1,35,673.8,8,0.005942,LYS,0.3193277308240944,0.007,0.0426253360746481,0.3523273050696709,0.2462168846729334,592,35.4,0.646,0.27723413287824517,772
OR2T2,Q6IF00,11,728.6,11,0.00545,LYS,0.2605042014617612,0.0,0.0460920449153882,0.3231544619033501,0.2149756326303259,976,8.6,0.914,0.27719269946207037,773
HRH2,P25021,14,1006.1,15,0.006588,LYS,0.2352941174493327,-0.003,0.0636470030049027,0.3906314853246368,0.2304011934785949,819,22.0,0.78,0.27710491333989645,774
ERMAP,Q96PL5,17,94.7,4,0.007442,LYS,0.252100840124285,-0.001,0.0059908271390162,0.4412689000889415,0.2350182542181013,759,23.4,0.766,0.27694976720743997,775
ICAM2,P13598,3,25.6,4,0.00781,LYS,0.2268907561118565,-0.004,0.0016194844219516,0.4630892380670026,0.2301689191914288,820,18.9,0.811,0.2767699194824859,776
CHRM1,P11229,20,991.2,18,0.007461,LYS,0.2352941174493327,-0.003,0.0627044124624387,0.4423954936258523,0.2456476188062203,603,35.0,0.65,0.2767631382524611,777
VN1R1,Q9GZP7,24,554.0,13,0.007017,LYS,0.252100840124285,-0.001,0.0350466550687964,0.4160687815001482,0.2361749670203974,749,26.1,0.739,0.27666648593917575,778
OR10J1,P30954,14,376.8,7,0.005944,LYS,0.2605042014617612,0.0,0.0238367863356001,0.3524458938630299,0.2170864846442934,951,10.0,0.9,0.27643897987805394,779
SCN1A,P35498,125,2512.4,17,0.006719,LYS,0.1932773107619518,-0.008,0.1589372133480942,0.3983990512896531,0.2445118036961049,617,38.5,0.615,0.27642798559352466,780
FGFR3,P22607,27,1583.6,9,0.00354,LYS,0.3613445375114751,0.012,0.1001802941641625,0.2099021642454788,0.2375625525274824,731,32.6,0.6739999999999999,0.2764002174396347,781
RTN4RL1,Q86UN2,10,649.7,9,0.007727,LYS,0.2436974787868088,-0.002,0.0411007433180452,0.458167803142603,0.247259555452918,584,36.1,0.639,0.2760662913564474,782
PIGT,Q969N2,25,922.1,7,0.003772,LYS,0.3277310921615705,0.008,0.058333069745374,0.2236584642751259,0.2156898970707782,968,12.1,0.879,0.2760204192489434,783
MS4A6A,Q9H2W1,4,105.5,3,0.006101,LYS,0.3445378148365229,0.01,0.0066740471295271,0.3617551141417136,0.2483438743159814,571,37.1,0.629,0.2759292278670695,784
SLC6A7,Q99884,23,1493.0,20,0.005051,LYS,0.252100840124285,-0.001,0.0944488375770994,0.2994959976282241,0.219023786611311,930,15.6,0.844,0.27584394472368556,785
OR4E1,P0C645,15,138.2,3,0.006047,LYS,0.2605042014617612,0.0,0.0087426854341293,0.3585532167210198,0.2143904512312492,982,7.6,0.924,0.27583758032211014,786
SLC6A3,Q01959,24,1813.0,12,0.004635,LYS,0.2436974787868088,-0.002,0.1146923928514945,0.2748295286095464,0.2143355679530358,983,12.7,0.873,0.27570921758321804,787
CRB1,P82279,49,601.6,10,0.00695,LYS,0.252100840124285,-0.001,0.0380578839158627,0.4120960569226207,0.235886518301259,750,27.2,0.728,0.2754766734489137,788
RNF13,O43567,11,298.5,3,0.006742,LYS,0.2941176468116659,0.004,0.0188834414043966,0.3997628224132818,0.2432409378699699,643,33.1,0.669,0.2754469144087225,789
NCSTN,Q92542,44,268.8,4,0.004116,LYS,0.3277310921615705,0.008,0.0170045864304918,0.2440557367328787,0.2094105338136394,1036,5.4,0.946,0.2754211923689169,790
ADAM20,O43506,40,348.2,4,0.006432,LYS,0.2605042014617612,-0.0,0.0220275185829511,0.3813815594426326,0.2252244039923795,860,17.8,0.822,0.2753301159471599,791
SLC2A8,Q9NY64,16,1753.6,5,0.004444,LYS,0.252100840124285,-0.001,0.1109346829036849,0.2635042988437592,0.2131720305739472,1001,12.2,0.878,0.27519177362554503,792
DCC,P43146,34,297.0,5,0.007654,LYS,0.2605042014617612,-0.0,0.0187885497390479,0.4538393121849985,0.2459900391619184,596,35.2,0.6479999999999999,0.2750728634795804,793
LRFN5,Q96NI6,19,325.1,3,0.008429,LYS,0.2268907561118565,-0.004,0.0205661869365807,0.4997924696116217,0.2468638994092033,588,35.7,0.643,0.2748297381230294,794
