gene,confidence_tier,source_surfy,source_go,uniprot_id,description,length
OR9A2,Tier2_SURFY_only,True,False,Q8NGT5,Olfactory receptor 9A2,310
DPEP1,Tier2_SURFY_only,True,False,P16444,Dipeptidase 1,411
TAS2R10,Tier2_SURFY_only,True,False,Q9NYW0,Taste receptor type 2 member 10,307
SEMA6A,Tier2_SURFY_only,True,False,Q9H2E6,Semaphorin-6A,1030
MFSD6,Tier2_SURFY_only,True,False,Q6ZSS7,Major facilitator superfamily domain-containing protein 6,791
UNC5B,Tier2_SURFY_only,True,False,Q8IZJ1,Netrin receptor UNC5B,945
TMEM255B,Tier2_SURFY_only,True,False,Q8WV15,Transmembrane protein 255B,326
SLC8B1,Tier2_SURFY_only,True,False,Q6J4K2,"Sodium/potassium/calcium exchanger 6, mitochondrial",584
TMEM106A,Tier2_SURFY_only,True,False,Q96A25,Transmembrane protein 106A,262
OR4C3,Tier2_SURFY_only,True,False,Q8NH37,Olfactory receptor 4C3,302
OR14L1P,Tier2_SURFY_only,True,False,Q8NHC6,Putative olfactory receptor 14L1,308
IGSF6,Tier2_SURFY_only,True,False,O95976,Immunoglobulin superfamily member 6,241
EPHA4,Tier2_SURFY_only,True,False,P54764,Ephrin type-A receptor 4,986
LIM2,Tier2_SURFY_only,True,False,P55344,Lens fiber membrane intrinsic protein,173
OR2J3,Tier2_SURFY_only,True,False,O76001,Olfactory receptor 2J3,311
F2R,Tier2_SURFY_only,True,False,P25116,Proteinase-activated receptor 1,425
IL1RAPL2,Tier2_SURFY_only,True,False,Q9NP60,X-linked interleukin-1 receptor accessory protein-like 2,686
SV2A,Tier2_SURFY_only,True,False,Q7L0J3,Synaptic vesicle glycoprotein 2A,742
VNN2,Tier2_SURFY_only,True,False,O95498,Vascular non-inflammatory molecule 2,520
SPN,Tier2_SURFY_only,True,False,P16150,Leukosialin,400
LRFN2,Tier2_SURFY_only,True,False,Q9ULH4,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,789
OR2C3,Tier2_SURFY_only,True,False,Q8N628,Olfactory receptor 2C3,320
OR51B6,Tier2_SURFY_only,True,False,Q9H340,Olfactory receptor 51B6,312
SLC22A1,Tier2_SURFY_only,True,False,O15245,Solute carrier family 22 member 1,554
BTNL3,Tier2_SURFY_only,True,False,Q6UXE8,Butyrophilin-like protein 3,466
VSTM4,Tier2_SURFY_only,True,False,Q8IW00,V-set and transmembrane domain-containing protein 4,320
LNPEP,Tier2_SURFY_only,True,False,Q9UIQ6,Leucyl-cystinyl aminopeptidase,1025
IL18R1,Tier2_SURFY_only,True,False,Q13478,Interleukin-18 receptor 1,541
LGR4,Tier2_SURFY_only,True,False,Q9BXB1,Leucine-rich repeat-containing G-protein coupled receptor 4,951
TAS2R20,Tier2_SURFY_only,True,False,P59543,Taste receptor type 2 member 20,309
OR2L2,Tier2_SURFY_only,True,False,Q8NH16,Olfactory receptor 2L2,312
AOC3,Tier2_SURFY_only,True,False,Q16853,Membrane primary amine oxidase,763
LAYN,Tier2_SURFY_only,True,False,Q6UX15,Layilin,382
ATG9A,Tier2_SURFY_only,True,False,Q7Z3C6,Autophagy-related protein 9A,839
NEGR1,Tier2_SURFY_only,True,False,Q7Z3B1,Neuronal growth regulator 1,354
OR7A5,Tier2_SURFY_only,True,False,Q15622,Olfactory receptor 7A5,319
MR1,Tier2_SURFY_only,True,False,Q95460,Major histocompatibility complex class I-related gene protein,341
IL2RA,Tier2_SURFY_only,True,False,P01589,Interleukin-2 receptor subunit alpha,272
TGFBR2,Tier2_SURFY_only,True,False,P37173,TGF-beta receptor type-2,567
CD2,Tier2_SURFY_only,True,False,P06729,T-cell surface antigen CD2,351
SLC11A1,Tier2_SURFY_only,True,False,P49279,Natural resistance-associated macrophage protein 1,550
PCDHA8,Tier2_SURFY_only,True,False,Q9Y5H6,Protocadherin alpha-8,950
PCDH7,Tier2_SURFY_only,True,False,O60245,Protocadherin-7,1069
SSTR3,Tier2_SURFY_only,True,False,P32745,Somatostatin receptor type 3,418
OR52E5,Tier2_SURFY_only,True,False,Q8NH55,Olfactory receptor 52E5,327
PTPRO,Tier2_SURFY_only,True,False,Q16827,Receptor-type tyrosine-protein phosphatase O,1216
SLC16A12,Tier2_SURFY_only,True,False,Q6ZSM3,Monocarboxylate transporter 12,486
OR5T1,Tier2_SURFY_only,True,False,Q8NG75,Olfactory receptor 5T1,326
GRM5,Tier2_SURFY_only,True,False,P41594,Metabotropic glutamate receptor 5,1212
BEST2,Tier2_SURFY_only,True,False,Q8NFU1,Bestrophin-2,509
CD69,Tier2_SURFY_only,True,False,Q07108,Early activation antigen CD69,199
GPR183,Tier2_SURFY_only,True,False,P32249,G-protein coupled receptor 183,361
CD52,Tier2_SURFY_only,True,False,P31358,CAMPATH-1 antigen,61
SLC16A6,Tier2_SURFY_only,True,False,O15403,Monocarboxylate transporter 7,523
OR51A2,Tier2_SURFY_only,True,False,Q8NGJ7,Olfactory receptor 51A2,313
OR52L2P,Tier2_SURFY_only,True,False,Q8NGH6,Putative olfactory receptor 52L2,319
HLA-F,Tier2_SURFY_only,True,False,P30511,"HLA class I histocompatibility antigen, alpha chain F",346
OR5L1,Tier2_SURFY_only,True,False,Q8NGL2,Olfactory receptor 5L1,311
CLEC2D,Tier2_SURFY_only,True,False,Q9UHP7,C-type lectin domain family 2 member D,191
LMBR1,Tier2_SURFY_only,True,False,Q8WVP7,Limb region 1 protein homolog,490
OR6C68,Tier2_SURFY_only,True,False,A6NDL8,Olfactory receptor 6C68,312
GHRHR,Tier2_SURFY_only,True,False,Q02643,Growth hormone-releasing hormone receptor,423
EVI2A,Tier2_SURFY_only,True,False,P22794,Protein EVI2A,236
ZNRF4,Tier2_SURFY_only,True,False,Q8WWF5,Zinc/RING finger protein 4,429
UPK2,Tier2_SURFY_only,True,False,O00526,Uroplakin-2,184
CXCR1,Tier2_SURFY_only,True,False,P25024,C-X-C chemokine receptor type 1,350
SLC3A1,Tier2_SURFY_only,True,False,Q07837,Neutral and basic amino acid transport protein rBAT,685
CHPT1,Tier2_SURFY_only,True,False,Q8WUD6,Cholinephosphotransferase 1,406
PCDHGC3,Tier2_SURFY_only,True,False,Q9UN70,Protocadherin gamma-C3,934
OR2F2,Tier2_SURFY_only,True,False,O95006,Olfactory receptor 2F2,317
GABRB1,Tier2_SURFY_only,True,False,P18505,Gamma-aminobutyric acid receptor subunit beta-1,474
CNTN6,Tier2_SURFY_only,True,False,Q9UQ52,Contactin-6,1028
JAM3,Tier2_SURFY_only,True,False,Q9BX67,Junctional adhesion molecule C,310
OR4F21,Tier2_SURFY_only,True,False,O95013,Olfactory receptor 4F21,312
F2RL3,Tier2_SURFY_only,True,False,Q96RI0,Proteinase-activated receptor 4,385
GABRA6,Tier2_SURFY_only,True,False,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,453
OR2J2,Tier2_SURFY_only,True,False,O76002,Olfactory receptor 2J2,312
EPHB3,Tier2_SURFY_only,True,False,P54753,Ephrin type-B receptor 3,998
PRLHR,Tier2_SURFY_only,True,False,P49683,Prolactin-releasing peptide receptor,370
GPR62,Tier2_SURFY_only,True,False,Q9BZJ7,Probable G-protein coupled receptor 62,368
OR5K2,Tier2_SURFY_only,True,False,Q8NHB8,Olfactory receptor 5K2,316
OR2Y1,Tier2_SURFY_only,True,False,Q8NGV0,Olfactory receptor 2Y1,311
OXER1,Tier2_SURFY_only,True,False,Q8TDS5,Oxoeicosanoid receptor 1,423
OR8K5,Tier2_SURFY_only,True,False,Q8NH50,Olfactory receptor 8K5,307
SCARF2,Tier2_SURFY_only,True,False,Q96GP6,Scavenger receptor class F member 2,870
CD163L1,Tier2_SURFY_only,True,False,Q9NR16,Scavenger receptor cysteine-rich type 1 protein M160,1453
ADRA2B,Tier2_SURFY_only,True,False,P18089,Alpha-2B adrenergic receptor,447
TNFSF18,Tier2_SURFY_only,True,False,Q9UNG2,Tumor necrosis factor ligand superfamily member 18,199
OR2A5,Tier2_SURFY_only,True,False,Q96R48,Olfactory receptor 2A5,311
SLC2A12,Tier2_SURFY_only,True,False,Q8TD20,"Solute carrier family 2, facilitated glucose transporter member 12",617
IFNGR1,Tier2_SURFY_only,True,False,P15260,Interferon gamma receptor 1,489
CNR1,Tier2_SURFY_only,True,False,P21554,Cannabinoid receptor 1,472
SLC24A4,Tier2_SURFY_only,True,False,Q8NFF2,Sodium/potassium/calcium exchanger 4,622
SLC6A6,Tier2_SURFY_only,True,False,P31641,Sodium- and chloride-dependent taurine transporter,620
SORT1,Tier2_SURFY_only,True,False,Q99523,Sortilin,831
ESAM,Tier2_SURFY_only,True,False,Q96AP7,Endothelial cell-selective adhesion molecule,390
SPINT2,Tier2_SURFY_only,True,False,O43291,Kunitz-type protease inhibitor 2,252
CALCRL,Tier2_SURFY_only,True,False,Q16602,Calcitonin gene-related peptide type 1 receptor,461
SLC39A4,Tier2_SURFY_only,True,False,Q6P5W5,Zinc transporter ZIP4,647
LTK,Tier2_SURFY_only,True,False,P29376,Leukocyte tyrosine kinase receptor,864
ZDHHC11,Tier2_SURFY_only,True,False,Q9H8X9,Probable palmitoyltransferase ZDHHC11,412
CLSTN1,Tier2_SURFY_only,True,False,O94985,Calsyntenin-1,981
ACPT,Tier2_SURFY_only,True,False,Q9BZG2,Testicular acid phosphatase,426
OR4C11,Tier2_SURFY_only,True,False,Q6IEV9,Olfactory receptor 4C11,310
ADAM15,Tier2_SURFY_only,True,False,Q13444,Disintegrin and metalloproteinase domain-containing protein 15,863
OR56A3,Tier2_SURFY_only,True,False,Q8NH54,Olfactory receptor 56A3,315
GABRG3,Tier2_SURFY_only,True,False,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,467
MC1R,Tier2_SURFY_only,True,False,Q01726,Melanocyte-stimulating hormone receptor,317
SLC19A2,Tier2_SURFY_only,True,False,O60779,Thiamine transporter 1,497
ALPP,Tier2_SURFY_only,True,False,P05187,"Alkaline phosphatase, placental type",535
NRG4,Tier2_SURFY_only,True,False,Q8WWG1,"Pro-neuregulin-4, membrane-bound isoform",115
ERVK-18,Tier2_SURFY_only,True,False,O42043,Endogenous retrovirus group K member 18 Env polyprotein,560
ERMP1,Tier2_SURFY_only,True,False,Q7Z2K6,Endoplasmic reticulum metallopeptidase 1,904
KLRC1,Tier2_SURFY_only,True,False,P26715,NKG2-A/NKG2-B type II integral membrane protein,233
TMEM67,Tier2_SURFY_only,True,False,Q5HYA8,Meckelin,995
DLL1,Tier2_SURFY_only,True,False,O00548,Delta-like protein 1,723
CHL1,Tier2_SURFY_only,True,False,O00533,Neural cell adhesion molecule L1-like protein,1208
CCR10,Tier2_SURFY_only,True,False,P46092,C-C chemokine receptor type 10,362
JAG1,Tier2_SURFY_only,True,False,P78504,Protein jagged-1,1218
DAG1,Tier2_SURFY_only,True,False,Q14118,Dystroglycan,895
TREM1,Tier2_SURFY_only,True,False,Q9NP99,Triggering receptor expressed on myeloid cells 1,234
ERVV-2,Tier2_SURFY_only,True,False,B6SEH9,Endogenous retrovirus group V member 2 Env polyprotein,535
GPR137C,Tier2_SURFY_only,True,False,Q8N3F9,Integral membrane protein GPR137C,429
GPR88,Tier2_SURFY_only,True,False,Q9GZN0,Probable G-protein coupled receptor 88,384
LRP6,Tier2_SURFY_only,True,False,O75581,Low-density lipoprotein receptor-related protein 6,1613
OLR1,Tier2_SURFY_only,True,False,P78380,Oxidized low-density lipoprotein receptor 1,273
SVOPL,Tier2_SURFY_only,True,False,Q8N434,Putative transporter SVOPL,492
RNF130,Tier2_SURFY_only,True,False,Q86XS8,E3 ubiquitin-protein ligase RNF130,419
SLC33A1,Tier2_SURFY_only,True,False,O00400,Acetyl-coenzyme A transporter 1,549
MUC15,Tier2_SURFY_only,True,False,Q8N387,Mucin-15,334
OR8G1,Tier2_SURFY_only,True,False,Q15617,Olfactory receptor 8G1,311
PKHD1L1,Tier2_SURFY_only,True,False,Q86WI1,Fibrocystin-L,4243
GPR31,Tier2_SURFY_only,True,False,O00270,"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor",319
CD68,Tier2_SURFY_only,True,False,P34810,Macrosialin,354
F2RL2,Tier2_SURFY_only,True,False,O00254,Proteinase-activated receptor 3,374
OR5M10,Tier2_SURFY_only,True,False,Q6IEU7,Olfactory receptor 5M10,315
OR2A14,Tier2_SURFY_only,True,False,Q96R47,Olfactory receptor 2A14,310
IL27RA,Tier2_SURFY_only,True,False,Q6UWB1,Interleukin-27 receptor subunit alpha,636
OR5AK2,Tier2_SURFY_only,True,False,Q8NH90,Olfactory receptor 5AK2,309
CLMP,Tier2_SURFY_only,True,False,Q9H6B4,CXADR-like membrane protein,373
OR10Z1,Tier2_SURFY_only,True,False,Q8NGY1,Olfactory receptor 10Z1,313
MS4A1,Tier2_SURFY_only,True,False,P11836,B-lymphocyte antigen CD20,297
OR2L8,Tier2_SURFY_only,True,False,Q8NGY9,Olfactory receptor 2L8,312
PRLR,Tier2_SURFY_only,True,False,P16471,Prolactin receptor,622
OR10A7,Tier2_SURFY_only,True,False,Q8NGE5,Olfactory receptor 10A7,316
CD248,Tier2_SURFY_only,True,False,Q9HCU0,Endosialin,757
ADAM30,Tier2_SURFY_only,True,False,Q9UKF2,Disintegrin and metalloproteinase domain-containing protein 30,790
ADAM21,Tier2_SURFY_only,True,False,Q9UKJ8,Disintegrin and metalloproteinase domain-containing protein 21,722
OR2T34,Tier2_SURFY_only,True,False,Q8NGX1,Olfactory receptor 2T34,318
OR4C16,Tier2_SURFY_only,True,False,Q8NGL9,Olfactory receptor 4C16,310
ATRN,Tier2_SURFY_only,True,False,O75882,Attractin,1429
OR1M1,Tier2_SURFY_only,True,False,Q8NGA1,Olfactory receptor 1M1,313
TNFRSF14,Tier2_SURFY_only,True,False,Q92956,Tumor necrosis factor receptor superfamily member 14,283
PIGT,Tier2_SURFY_only,True,False,Q969N2,GPI transamidase component PIG-T,578
GPR180,Tier2_SURFY_only,True,False,Q86V85,Integral membrane protein GPR180,440
OR4M1,Tier2_SURFY_only,True,False,Q8NGD0,Olfactory receptor 4M1,313
SLC15A2,Tier2_SURFY_only,True,False,Q16348,Solute carrier family 15 member 2,729
GRIN2A,Tier2_SURFY_only,True,False,Q12879,"Glutamate receptor ionotropic, NMDA 2A",1464
PTGDR2,Tier2_SURFY_only,True,False,Q9Y5Y4,Prostaglandin D2 receptor 2,395
SDK2,Tier2_SURFY_only,True,False,Q58EX2,Protein sidekick-2,2172
NTNG2,Tier2_SURFY_only,True,False,Q96CW9,Netrin-G2,530
CD63,Tier2_SURFY_only,True,False,P08962,CD63 antigen,238
GPR68,Tier2_SURFY_only,True,False,Q15743,Ovarian cancer G-protein coupled receptor 1,365
GRM3,Tier2_SURFY_only,True,False,Q14832,Metabotropic glutamate receptor 3,879
TAS2R3,Tier2_SURFY_only,True,False,Q9NYW6,Taste receptor type 2 member 3,316
TM4SF20,Tier2_SURFY_only,True,False,Q53R12,Transmembrane 4 L6 family member 20,229
ADCYAP1R1,Tier2_SURFY_only,True,False,P41586,Pituitary adenylate cyclase-activating polypeptide type I receptor,468
FZD7,Tier2_SURFY_only,True,False,O75084,Frizzled-7,574
PCDH9,Tier2_SURFY_only,True,False,Q9HC56,Protocadherin-9,1237
AGER,Tier2_SURFY_only,True,False,Q15109,Advanced glycosylation end product-specific receptor,404
OR2T29,Tier2_SURFY_only,True,False,Q8NH02,Olfactory receptor 2T29,315
QRFPR,Tier2_SURFY_only,True,False,Q96P65,Pyroglutamylated RFamide peptide receptor,431
OR6A2,Tier2_SURFY_only,True,False,O95222,Olfactory receptor 6A2,327
TNFRSF21,Tier2_SURFY_only,True,False,O75509,Tumor necrosis factor receptor superfamily member 21,655
OR51H1P,Tier2_SURFY_only,True,False,Q8NH63,Putative olfactory receptor 51H1,302
OR51B5,Tier2_SURFY_only,True,False,Q9H339,Olfactory receptor 51B5,312
MEGF11,Tier2_SURFY_only,True,False,A6BM72,Multiple epidermal growth factor-like domains protein 11,1044
PCDHB11,Tier2_SURFY_only,True,False,Q9Y5F2,Protocadherin beta-11,797
STIM1,Tier2_SURFY_only,True,False,Q13586,Stromal interaction molecule 1,685
ANTXR2,Tier2_SURFY_only,True,False,P58335,Anthrax toxin receptor 2,489
DLL4,Tier2_SURFY_only,True,False,Q9NR61,Delta-like protein 4,685
ZAN,Tier2_SURFY_only,True,False,Q9Y493,Zonadhesin,2812
OR1L1,Tier2_SURFY_only,True,False,Q8NH94,Olfactory receptor 1L1,360
OPN1LW,Tier2_SURFY_only,True,False,P04000,Long-wave-sensitive opsin 1,364
RNF149,Tier2_SURFY_only,True,False,Q8NC42,E3 ubiquitin-protein ligase RNF149,400
TSPAN18,Tier2_SURFY_only,True,False,Q96SJ8,Tetraspanin-18,248
CHRNA3,Tier2_SURFY_only,True,False,P32297,Neuronal acetylcholine receptor subunit alpha-3,505
OR10D3,Tier2_SURFY_only,True,False,Q8NH80,Putative olfactory receptor 10D3,312
SCN1A,Tier2_SURFY_only,True,False,P35498,Sodium channel protein type 1 subunit alpha,2009
TRPV4,Tier2_SURFY_only,True,False,Q9HBA0,Transient receptor potential cation channel subfamily V member 4,871
CNTNAP2,Tier2_SURFY_only,True,False,Q9UHC6,Contactin-associated protein-like 2,1331
SCN4B,Tier2_SURFY_only,True,False,Q8IWT1,Sodium channel subunit beta-4,228
STAB2,Tier2_SURFY_only,True,False,Q8WWQ8,Stabilin-2,2551
OR2S2,Tier2_SURFY_only,True,False,Q9NQN1,Olfactory receptor 2S2,319
OR51B4,Tier2_SURFY_only,True,False,Q9Y5P0,Olfactory receptor 51B4,310
CD86,Tier2_SURFY_only,True,False,P42081,T-lymphocyte activation antigen CD86,329
SLC51A,Tier2_SURFY_only,True,False,Q86UW1,Organic solute transporter subunit alpha,340
OR5T2,Tier2_SURFY_only,True,False,Q8NGG2,Olfactory receptor 5T2,359
ITGA2,Tier2_SURFY_only,True,False,P17301,Integrin alpha-2,1181
GPR150,Tier2_SURFY_only,True,False,Q8NGU9,Probable G-protein coupled receptor 150,434
KIRREL2,Tier2_SURFY_only,True,False,Q6UWL6,Kin of IRRE-like protein 2,708
ADRA2C,Tier2_SURFY_only,True,False,P18825,Alpha-2C adrenergic receptor,462
LRRC4B,Tier2_SURFY_only,True,False,Q9NT99,Leucine-rich repeat-containing protein 4B,713
LILRA4,Tier2_SURFY_only,True,False,P59901,Leukocyte immunoglobulin-like receptor subfamily A member 4,499
TNFSF15,Tier2_SURFY_only,True,False,O95150,Tumor necrosis factor ligand superfamily member 15,251
KIR3DS1,Tier2_SURFY_only,True,False,Q14943,Killer cell immunoglobulin-like receptor 3DS1,387
CD58,Tier2_SURFY_only,True,False,P19256,Lymphocyte function-associated antigen 3,250
TRHDE,Tier2_SURFY_only,True,False,Q9UKU6,Thyrotropin-releasing hormone-degrading ectoenzyme,1024
PKHD1,Tier2_SURFY_only,True,False,P08F94,Fibrocystin,4074
SLC30A1,Tier2_SURFY_only,True,False,Q9Y6M5,Zinc transporter 1,507
ERBB2,Tier2_SURFY_only,True,False,P04626,Receptor tyrosine-protein kinase erbB-2,1255
TNFRSF13B,Tier2_SURFY_only,True,False,O14836,Tumor necrosis factor receptor superfamily member 13B,293
OR4C45,Tier2_SURFY_only,True,False,A6NMZ5,Olfactory receptor 4C45,311
PCDHGC4,Tier2_SURFY_only,True,False,Q9Y5F7,Protocadherin gamma-C4,938
VNN1,Tier2_SURFY_only,True,False,O95497,Pantetheinase,513
ZACN,Tier2_SURFY_only,True,False,Q401N2,Zinc-activated ligand-gated ion channel,412
ACVR2A,Tier2_SURFY_only,True,False,P27037,Activin receptor type-2A,513
SIRPA,Tier2_SURFY_only,True,False,P78324,Tyrosine-protein phosphatase non-receptor type substrate 1,504
PROKR2,Tier2_SURFY_only,True,False,Q8NFJ6,Prokineticin receptor 2,384
CHRNB3,Tier2_SURFY_only,True,False,Q05901,Neuronal acetylcholine receptor subunit beta-3,458
GDPD2,Tier2_SURFY_only,True,False,Q9HCC8,Glycerophosphoinositol inositolphosphodiesterase GDPD2,539
TACR3,Tier2_SURFY_only,True,False,P29371,Neuromedin-K receptor,465
BTN3A3,Tier2_SURFY_only,True,False,O00478,Butyrophilin subfamily 3 member A3,584
CALCR,Tier2_SURFY_only,True,False,P30988,Calcitonin receptor,508
FOLR1,Tier2_SURFY_only,True,False,P15328,Folate receptor alpha,257
SORCS1,Tier2_SURFY_only,True,False,Q8WY21,VPS10 domain-containing receptor SorCS1,1168
FAT1,Tier2_SURFY_only,True,False,Q14517,Protocadherin Fat 1,4588
TSPAN2,Tier2_SURFY_only,True,False,O60636,Tetraspanin-2,221
ITGAV,Tier2_SURFY_only,True,False,P06756,Integrin alpha-V,1048
PMEL,Tier2_SURFY_only,True,False,P40967,Melanocyte protein PMEL,661
ABCB9,Tier2_SURFY_only,True,False,Q9NP78,ATP-binding cassette sub-family B member 9,766
SLC7A4,Tier2_SURFY_only,True,False,O43246,Cationic amino acid transporter 4,635
ABCA8,Tier2_SURFY_only,True,False,O94911,ATP-binding cassette sub-family A member 8,1581
TMEM30A,Tier2_SURFY_only,True,False,Q9NV96,Cell cycle control protein 50A,361
SLC43A1,Tier2_SURFY_only,True,False,O75387,Large neutral amino acids transporter small subunit 3,559
GLRA2,Tier2_SURFY_only,True,False,P23416,Glycine receptor subunit alpha-2,452
HFE2,Tier2_SURFY_only,True,False,Q6ZVN8,Hemojuvelin,426
CELSR1,Tier2_SURFY_only,True,False,Q9NYQ6,Cadherin EGF LAG seven-pass G-type receptor 1,3014
SLC38A8,Tier2_SURFY_only,True,False,A6NNN8,Putative sodium-coupled neutral amino acid transporter 8,435
OR1L3,Tier2_SURFY_only,True,False,Q8NH93,Olfactory receptor 1L3,324
OR11H6,Tier2_SURFY_only,True,False,Q8NGC7,Olfactory receptor 11H6,330
PCDHB3,Tier2_SURFY_only,True,False,Q9Y5E6,Protocadherin beta-3,796
FNDC9,Tier2_SURFY_only,True,False,Q8TBE3,Fibronectin type III domain-containing protein 9,224
GJB2,Tier2_SURFY_only,True,False,P29033,Gap junction beta-2 protein,226
GABRA3,Tier2_SURFY_only,True,False,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,492
OR10AC1P,Tier2_SURFY_only,True,False,Q8NH08,Putative olfactory receptor 10AC1,325
LYPD2,Tier2_SURFY_only,True,False,Q6UXB3,Ly6/PLAUR domain-containing protein 2,125
OR4F5,Tier2_SURFY_only,True,False,Q8NH21,Olfactory receptor 4F5,305
HLA-C,Tier2_SURFY_only,True,False,P04222,"HLA class I histocompatibility antigen, Cw-3 alpha chain",366
CD80,Tier2_SURFY_only,True,False,P33681,T-lymphocyte activation antigen CD80,288
ART3,Tier2_SURFY_only,True,False,Q13508,Ecto-ADP-ribosyltransferase 3,389
SLC26A3,Tier2_SURFY_only,True,False,P40879,Chloride anion exchanger,764
ENTPD3,Tier2_SURFY_only,True,False,O75355,Ectonucleoside triphosphate diphosphohydrolase 3,529
GJB6,Tier2_SURFY_only,True,False,O95452,Gap junction beta-6 protein,261
GRIK5,Tier2_SURFY_only,True,False,Q16478,"Glutamate receptor ionotropic, kainate 5",980
OR2AG1,Tier2_SURFY_only,True,False,Q9H205,Olfactory receptor 2AG1,316
OR10V1,Tier2_SURFY_only,True,False,Q8NGI7,Olfactory receptor 10V1,309
ACKR2,Tier2_SURFY_only,True,False,O00590,Atypical chemokine receptor 2,384
OR51L1,Tier2_SURFY_only,True,False,Q8NGJ5,Olfactory receptor 51L1,315
PHEX,Tier2_SURFY_only,True,False,P78562,Phosphate-regulating neutral endopeptidase,749
LMBR1L,Tier2_SURFY_only,True,False,Q6UX01,Protein LMBR1L,489
KREMEN2,Tier2_SURFY_only,True,False,Q8NCW0,Kremen protein 2,462
IMPG2,Tier2_SURFY_only,True,False,Q9BZV3,Interphotoreceptor matrix proteoglycan 2,1241
LRIG1,Tier2_SURFY_only,True,False,Q96JA1,Leucine-rich repeats and immunoglobulin-like domains protein 1,1093
CEACAM6,Tier2_SURFY_only,True,False,P40199,Carcinoembryonic antigen-related cell adhesion molecule 6,344
ERVK-9,Tier2_SURFY_only,True,False,Q9UKH3,Endogenous retrovirus group K member 9 Env polyprotein,698
CASD1,Tier2_SURFY_only,True,False,Q96PB1,CAS1 domain-containing protein 1,797
SLC46A3,Tier2_SURFY_only,True,False,Q7Z3Q1,Solute carrier family 46 member 3,461
GLRA3,Tier2_SURFY_only,True,False,O75311,Glycine receptor subunit alpha-3,464
PARM1,Tier2_SURFY_only,True,False,Q6UWI2,Prostate androgen-regulated mucin-like protein 1,310
OR5D14,Tier2_SURFY_only,True,False,Q8NGL3,Olfactory receptor 5D14,314
PCDH20,Tier2_SURFY_only,True,False,Q8N6Y1,Protocadherin-20,951
LILRA2,Tier2_SURFY_only,True,False,Q8N149,Leukocyte immunoglobulin-like receptor subfamily A member 2,483
OR7G1,Tier2_SURFY_only,True,False,Q8NGA0,Olfactory receptor 7G1,311
ADAM19,Tier2_SURFY_only,True,False,Q9H013,Disintegrin and metalloproteinase domain-containing protein 19,955
SLC16A7,Tier2_SURFY_only,True,False,O60669,Monocarboxylate transporter 2,478
CD200R1,Tier2_SURFY_only,True,False,Q8TD46,Cell surface glycoprotein CD200 receptor 1,325
HERVK_113,Tier2_SURFY_only,True,False,Q902F9,Endogenous retrovirus group K member 113 Env polyprotein,699
RTN4RL1,Tier2_SURFY_only,True,False,Q86UN2,Reticulon-4 receptor-like 1,441
OR5B17,Tier2_SURFY_only,True,False,Q8NGF7,Olfactory receptor 5B17,314
NCSTN,Tier2_SURFY_only,True,False,Q92542,Nicastrin,709
VN1R3,Tier2_SURFY_only,True,False,Q9BXE9,Vomeronasal type-1 receptor 3,311
TMEM179B,Tier2_SURFY_only,True,False,Q7Z7N9,Transmembrane protein 179B,219
OR51V1,Tier2_SURFY_only,True,False,Q9H2C8,Olfactory receptor 51V1,321
OR7E24,Tier2_SURFY_only,True,False,Q6IFN5,Olfactory receptor 7E24,339
OR8B3,Tier2_SURFY_only,True,False,Q8NGG8,Olfactory receptor 8B3,313
PTPRN2,Tier2_SURFY_only,True,False,Q92932,Receptor-type tyrosine-protein phosphatase N2,1015
NTM,Tier2_SURFY_only,True,False,Q9P121,Neurotrimin,344
PTTG1IP,Tier2_SURFY_only,True,False,P53801,Pituitary tumor-transforming gene 1 protein-interacting protein,180
AMIGO3,Tier2_SURFY_only,True,False,Q86WK7,Amphoterin-induced protein 3,504
TMEM204,Tier2_SURFY_only,True,False,Q9BSN7,Transmembrane protein 204,226
CXCR2,Tier2_SURFY_only,True,False,P25025,C-X-C chemokine receptor type 2,360
OR51Q1,Tier2_SURFY_only,True,False,Q8NH59,Olfactory receptor 51Q1,317
JAG2,Tier2_SURFY_only,True,False,Q9Y219,Protein jagged-2,1238
IL17RC,Tier2_SURFY_only,True,False,Q8NAC3,Interleukin-17 receptor C,791
SLC34A3,Tier2_SURFY_only,True,False,Q8N130,Sodium-dependent phosphate transport protein 2C,599
CNTN4,Tier2_SURFY_only,True,False,Q8IWV2,Contactin-4,1026
C1orf101,Tier2_SURFY_only,True,False,Q5SY80,Uncharacterized protein C1orf101,951
CMKLR1,Tier2_SURFY_only,True,False,Q99788,Chemokine-like receptor 1,373
DLK1,Tier2_SURFY_only,True,False,P80370,Protein delta homolog 1,383
CACNG8,Tier2_SURFY_only,True,False,Q8WXS5,Voltage-dependent calcium channel gamma-8 subunit,425
KCNMB4,Tier2_SURFY_only,True,False,Q86W47,Calcium-activated potassium channel subunit beta-4,210
OR9G1,Tier2_SURFY_only,True,False,Q8NH87,Olfactory receptor 9G1,305
LILRB3,Tier2_SURFY_only,True,False,O75022,Leukocyte immunoglobulin-like receptor subfamily B member 3,631
