gene,mean_plddt,plddt_below_70,plddt_below_50
SLC16A4,79.7,20.1,17.0
NPY4R,80.3,24.5,17.1
CNTN5,82.6,14.1,11.5
GPR108,75.3,28.5,19.0
TMIGD2,68.9,58.5,24.8
GPR82,84.2,14.0,3.3
GPR3,81.8,22.1,13.6
SLC10A3,76.8,23.3,16.6
RNF149,74.3,38.2,22.8
VNN2,91.7,8.7,5.8
SPNS3,84.5,16.6,14.3
QRFPR,78.8,24.4,18.3
CALCR,78.7,25.1,13.5
PCDHB10,81.2,18.2,15.5
NPHS1,77.2,22.5,18.4
TMEM25,62.9,55.7,42.1
BMPR1A,82.6,21.2,10.0
IL13RA2,86.2,16.1,8.4
TRABD2A,68.8,40.4,34.3
CLEC12A,83.1,23.0,12.8
GABBR2,77.7,25.6,20.3
CRB2,76.4,23.8,9.2
TSPAN9,89.6,6.3,0.4
RNFT1,71.6,37.2,29.4
DCBLD2,67.7,46.8,42.2
QSOX2,79.3,25.6,21.1
TPBGL,80.3,28.3,12.8
GP1BB,88.0,18.9,1.0
KIR3DL2,74.9,36.3,25.1
ASIC1,83.8,16.7,13.4
SLC26A9,79.9,18.8,15.4
MRC2,77.0,25.5,13.3
ABCC11,78.9,17.9,11.0
GPR137,66.2,49.9,34.8
ADAM15,73.2,34.6,22.7
GRPR,78.5,25.0,20.8
GPR85,82.6,25.1,9.2
GPR174,84.1,19.5,3.0
ROBO2,67.4,43.6,40.3
SLC23A1,81.8,15.4,10.5
SLC12A2,73.1,30.6,26.1
STS,94.4,5.3,2.7
IFNGR1,66.0,54.4,41.7
SDK1,72.2,28.3,15.8
PCDHB2,81.4,18.3,15.0
TMPRSS6,84.5,11.7,6.3
ANO6,81.6,15.3,6.6
EFNB1,70.7,46.5,31.5
MLNR,77.2,27.2,22.8
TNFRSF1B,66.8,51.6,45.6
CLDN9,81.2,21.2,10.1
PLXND1,79.9,18.8,7.9
CD244,71.1,45.9,18.6
ENPEP,93.5,7.1,5.3
RNF167,78.4,29.7,21.1
GPR137C,66.6,46.2,36.6
PCDHA1,73.8,32.5,27.6
SEMA5A,77.6,25.4,13.6
KIR2DL4,70.0,41.9,32.4
FCRL2,80.7,25.0,19.7
SLCO5A1,70.4,40.0,32.1
PLVAP,81.7,18.3,10.9
OR7C1,87.6,11.2,2.5
TMEM67,84.7,12.0,3.3
TMEFF1,69.0,49.7,26.1
LRRC19,74.5,39.2,30.0
DRD5,69.1,43.2,34.8
FZD10,80.6,21.2,17.2
LMBRD2,76.7,26.2,15.4
CCR7,78.4,25.7,13.8
HEPHL1,89.5,9.2,6.1
BTLA,67.2,56.7,28.7
LYSMD3,63.3,62.1,33.0
KLRC2,73.5,40.7,32.0
TIMD4,63.4,59.5,41.5
FCGR3B,88.6,15.9,4.3
CD274,88.3,15.5,1.7
IL31RA,74.0,32.1,24.7
LILRA2,86.1,12.4,9.9
BMPR2,57.4,62.4,57.0
SLC12A9,81.3,18.2,9.8
LRFN3,77.4,29.0,21.3
CLEC17A,70.2,47.1,39.2
KIAA0319,70.8,35.4,29.9
SEMA4G,79.8,26.3,20.2
DAGLB,72.5,36.6,20.2
TGOLN2,49.2,91.8,67.5
SLC15A2,84.1,12.6,7.7
NMUR2,80.0,25.5,13.7
ABCB9,85.4,8.4,6.0
OR51E1,88.5,6.9,3.8
EFNA5,78.5,27.6,18.9
IL10RA,62.0,58.1,53.6
GPA33,85.0,21.6,9.7
FAM171B,56.9,66.0,56.1
TREML2,64.2,59.5,40.2
PRRT3,51.9,76.8,68.5
NPFFR2,69.4,40.6,34.5
ACE2,90.7,7.8,4.8
SERINC3,76.3,30.7,20.7
PCDHB16,82.6,16.0,13.4
TLR6,85.8,10.7,5.0
SLC22A2,83.0,12.3,5.4
FZD8,74.5,35.4,24.8
ABCG5,85.0,13.7,6.5
SLC4A8,72.4,31.6,20.3
FAM174A,59.0,81.1,23.2
OPRD1,80.0,21.2,18.3
SLC44A2,83.5,11.5,3.1
CD226,82.7,22.3,6.0
CNNM2,70.4,37.3,27.4
MCHR1,84.4,16.1,9.3
SLC6A20,93.1,2.0,0.5
CD55,78.3,33.6,28.9
FFAR2,88.1,13.6,7.3
PTPRA,81.5,23.1,21.8
VSTM1,76.2,39.4,19.5
LRFN4,77.3,29.6,22.5
LPAR6,84.4,14.2,1.7
TPRA1,73.1,34.0,28.2
SLC41A3,79.0,21.9,15.6
LY6H,75.8,36.4,4.3
CHRNB2,80.3,23.5,14.5
CDH17,86.7,8.7,6.1
GALR3,81.0,20.9,15.5
UMODL1,69.1,35.5,24.7
RYK,79.7,24.7,21.3
GRIN1,82.9,17.0,9.3
FAM171A1,57.1,67.4,56.7
RNF130,74.0,32.7,23.4
NRP1,79.1,23.2,17.4
HEG1,42.2,82.7,77.9
RXFP1,81.1,17.6,11.4
IGDCC3,74.4,29.4,25.7
GRAMD1B,67.5,44.6,38.5
HTR3A,82.6,18.0,10.3
CRLF2,77.2,30.2,21.8
CHRNB1,79.5,23.0,15.6
CYSLTR2,84.5,18.5,11.0
PCDHGB1,74.9,29.4,26.2
NPTN,86.5,17.3,10.3
FCRL6,76.2,32.9,28.3
GPR31,83.2,14.7,6.0
CD200R1,74.5,40.2,24.7
SLC12A3,80.7,16.9,12.1
SLC7A4,80.8,16.1,12.3
HEPACAM2,78.6,29.4,20.6
KCNA3,72.0,39.7,34.1
CLCA2,86.6,13.1,7.0
RXFP4,81.3,23.5,12.0
PCDHA4,73.8,32.6,27.8
ADIPOR2,82.5,23.6,19.2
IL23R,68.2,46.9,37.0
LILRA1,83.9,16.2,11.7
ALPL,93.3,8.2,6.3
NPFFR1,77.6,28.8,25.6
ITGAD,85.5,10.7,4.8
CDH8,77.3,26.5,20.3
PLXNA1,84.8,11.9,5.6
RET,78.8,22.7,18.8
TMEM140,87.1,10.8,5.4
TMEM116,73.6,32.2,15.5
TMEM178B,75.4,32.7,18.4
PTPRU,81.5,16.8,12.0
MYADM,85.7,13.0,8.4
ELFN1,61.8,58.0,43.4
IL17RE,68.6,38.7,29.1
LMBRD1,83.8,13.0,3.5
FCGRT,85.0,19.2,14.0
SLC39A2,82.5,19.4,11.0
SLC11A2,80.6,16.5,13.7
PTPRN,65.5,48.6,39.8
TM4SF4,76.7,28.2,13.4
PTCHD4,82.3,18.3,4.8
KLRC1,75.6,39.5,23.2
MS4A1,70.5,44.8,25.3
SIGIRR,75.2,32.9,16.6
BTN2A2,86.0,13.6,6.9
CNR2,84.5,17.8,11.4
HLA-E,87.0,16.5,11.5
LGR4,78.8,25.2,20.8
LHFPL1,89.7,9.5,0.9
EPHA8,80.2,20.5,14.0
CCR3,83.4,16.3,13.2
CSF2RB,64.0,50.4,46.3
LRFN2,69.3,43.2,35.7
IL1RAPL2,75.2,27.6,22.3
SSTR3,74.6,33.3,24.4
GPR37L1,67.8,44.1,30.8
DPEP2,82.7,26.1,22.0
DUOX2,84.0,14.4,7.6
CPM,90.3,12.0,7.9
RELT,62.8,62.3,41.6
GPR153,65.1,53.0,46.0
EGF,70.3,35.6,22.7
SLC16A6,76.4,27.3,22.0
F2RL3,80.2,23.1,18.7
SLC22A5,86.5,9.0,5.2
LINGO4,85.5,15.3,12.8
RAET1G,70.0,45.5,34.4
CD300E,77.8,33.2,15.6
ABCA4,75.7,23.3,8.0
SLC2A5,90.6,6.4,2.2
SLC28A1,82.3,16.5,10.8
TMEM145,78.5,26.6,17.6
OTOA,84.0,12.4,7.9
DUOX1,85.6,13.3,7.9
AQP5,94.3,8.3,0.4
FZD7,83.2,19.0,13.8
TMEM235,80.9,25.6,9.9
OR1E1,88.5,8.6,2.2
FGFR2,73.9,32.8,25.5
CDH9,77.9,25.3,20.2
PCDHA10,73.3,32.8,27.8
OR5B3,86.5,10.2,1.3
GPR119,86.7,12.2,6.0
SLC46A2,80.6,22.5,17.5
FCRL1,75.7,37.1,27.0
CHRNB3,83.3,15.5,9.8
PROKR2,78.3,24.0,18.5
SLC32A1,78.1,26.5,19.6
OR10R2,82.6,17.3,10.4
OR5M11,87.8,7.2,1.3
LRTM1,81.4,26.4,21.2
OR2T35,88.8,8.4,2.8
CD59,79.3,32.0,7.0
MRGPRD,85.4,14.3,5.0
PLET1,76.2,36.7,17.9
OR13J1,82.4,17.0,2.9
OR10AD1,80.4,22.1,2.8
SLC6A19,90.0,4.7,3.2
OR9G1,85.9,8.5,1.6
CMKLR1,79.0,29.0,18.5
SLC34A3,75.8,30.4,15.9
CDH15,78.4,26.0,19.3
OR51G1,87.7,10.9,2.8
UNC5D,74.6,29.5,24.6
SPRN,53.8,85.4,47.7
MC2R,85.4,10.8,6.1
OR4D11,86.7,6.1,2.3
VSTM5,88.2,13.0,0.5
SLCO1B1,80.3,22.1,13.9
CFC1,64.1,59.2,36.8
OR4A47,91.8,3.6,1.0
DPEP3,83.7,24.2,18.0
OR5K2,88.9,7.6,1.3
PRLHR,80.6,19.7,16.2
OR56A3,85.0,9.8,3.8
OR4C11,90.0,5.8,1.0
C11orf87,57.9,83.2,37.6
ADCY7,77.3,26.5,13.1
OR13G1,86.5,8.8,0.7
OR2T6,88.3,4.2,2.6
OR4S2,88.3,5.8,1.3
OR9I1,89.6,6.7,1.0
SLC22A4,85.2,11.1,5.4
OR52B4,87.5,7.0,1.9
OR52Z1,87.0,9.7,1.0
TMEM245,68.9,38.3,20.9
OR10AG1,91.4,2.7,0.0
OR11H7,90.6,4.8,1.9
PCDHB13,81.2,18.4,15.8
OR6C3,91.2,3.5,0.6
MC3R,83.9,17.0,11.1
DYNAP,60.0,81.9,24.8
OR5L2,89.4,6.4,1.9
OR11H1,81.3,17.8,8.0
OR2AJ1,86.2,11.3,4.0
OR6B3,82.3,19.9,6.6
OR6J1,86.5,8.9,5.2
ASGR2,78.7,28.9,16.1
KIR3DL3,80.3,25.1,17.1
OR5AR1,90.9,5.8,1.6
OR11G2,81.6,16.5,13.0
HRH4,76.3,27.7,19.5
TMEM225,76.0,32.4,20.0
GPR33,87.6,14.1,0.0
SV2C,78.0,25.2,12.1
PCDHA9,73.2,33.6,28.9
GPR176,66.5,46.8,32.8
TMIGD1,87.8,14.1,1.9
GALR2,77.9,28.7,23.8
ZP2,71.6,35.4,21.1
OR5H14,89.4,6.5,1.9
OR5AN1,89.1,6.4,1.9
CATSPERG,83.9,13.1,7.2
SLC36A1,84.9,14.1,12.0
SLC38A5,80.0,19.3,14.6
KCNG4,77.9,24.5,15.4
NAGPA,82.2,23.3,14.4
OR4F15,88.1,5.4,1.0
CHRNG,81.3,20.1,8.9
LRIT3,69.6,41.2,32.8
MRGPRX1,82.8,21.7,9.0
OR52D1,88.3,8.5,2.5
OR6C74,87.6,8.3,1.6
NMBR,79.3,25.1,20.8
GLRA1,84.0,17.5,9.4
OR13C6P,76.6,33.8,7.9
MTNR1B,84.0,20.4,14.9
OR1E3,76.5,30.3,15.2
OR1G1,84.0,12.5,2.9
SLC20A2,72.6,35.3,31.0
PCDHA7,74.4,32.0,26.9
GNRHR,84.2,18.9,6.7
OR8K1,88.3,8.8,4.4
MAS1L,66.9,47.1,27.0
TAS2R16,82.5,15.1,0.3
OR51B6,89.6,4.2,2.9
OR2C3,86.7,11.2,4.4
OR4A4P,90.3,2.0,1.0
OR14C36,86.8,9.0,1.3
OR2J1,89.4,6.7,3.5
OR1N2,88.4,10.1,5.1
OR4C15,90.2,4.4,0.6
CLDN20,82.2,21.5,12.8
CD69,82.1,28.6,18.1
OR5T1,87.2,11.0,3.1
OR2J2,89.3,7.4,3.8
GABRA6,82.1,21.0,15.0
OR4F21,90.1,4.8,1.0
OR2F2,88.8,5.7,1.9
OR5V1,85.6,13.1,3.7
OR2Y1,89.5,6.8,2.9
OR1D4,81.2,23.2,7.7
ATP1B4,81.8,21.0,10.4
ALPI,93.1,8.9,7.6
CD40,81.2,31.0,13.0
OR56A5,87.7,3.5,2.6
OR6K2,88.2,7.7,3.4
OR6X1,86.5,9.9,2.9
OR10C1,86.8,6.7,2.2
OR52E2,86.3,10.8,0.6
ECE1,90.9,8.8,7.4
OR5H1,87.7,10.2,4.2
OR7A17,85.4,13.6,3.6
OR5L1,89.2,6.4,1.3
OR52L2P,86.2,11.6,4.7
OR51A2,87.5,5.8,2.9
OR5C1,87.0,7.5,3.8
OR52E4,89.0,3.2,1.3
LY6G6D,66.2,54.9,7.5
OR4K3,84.7,9.2,2.2
VN1R3,79.1,28.0,6.1
HCRTR2,79.0,31.3,16.4
TMEM114,82.1,22.9,7.6
OR6P1,85.6,11.7,6.0
OR10G8,88.2,7.4,1.3
OR10J6P,84.6,11.6,3.6
PROCR,86.5,18.5,11.8
RAET1E,81.6,22.8,13.3
OR51F2,86.1,8.5,5.8
OR10K1,88.2,7.7,1.9
OR2A5,88.4,5.8,1.3
OR8K5,89.4,6.8,2.6
PCDHA8,73.4,32.8,28.4
OR5M3,92.3,2.3,1.0
THSD7B,67.1,45.4,13.9
PCDHA13,73.3,33.1,28.3
OR2T4,84.1,14.9,13.5
ZNRF4,66.4,52.4,33.3
OR2L2,90.2,5.1,2.6
OR6C68,86.8,10.3,1.9
OPRM1,76.6,30.8,17.8
OR8B12,88.8,7.7,1.9
OR2M7,85.3,11.2,3.5
TAS1R3,87.0,9.7,4.8
GHSR,81.6,21.9,10.4
OR4A16,85.9,7.9,2.4
OR51J1,65.1,56.0,29.1
OR4E2,88.6,6.1,1.3
OR52A1,90.1,5.1,1.0
OR9Q1,84.6,11.9,2.6
DSCAM,69.6,31.7,22.4
TYR,89.9,10.8,8.3
OR1D2,86.3,11.9,2.6
GRIN3A,73.1,33.2,20.0
PRTG,73.8,29.6,21.9
CCR9,83.5,14.1,9.8
OR10A4,88.7,5.7,1.6
SLC5A2,83.8,14.4,7.4
ADAM29,77.1,27.7,20.7
GPR142,63.7,51.3,37.9
KDR,71.1,33.1,25.5
RELL1,60.3,76.4,33.6
OR4C3,89.8,4.0,1.0
TAS2R10,87.2,10.4,2.0
OR4C46,88.4,3.9,1.6
LRRC52,87.0,18.5,4.8
PRSS41,82.7,21.4,11.0
OR2G3,90.7,5.2,2.6
KLRC3,71.0,43.8,25.0
OR2AG2,86.8,5.1,3.2
OR1S1,86.3,11.7,5.5
OR2J3,88.4,7.1,3.5
LIM2,90.3,5.2,0.0
OR52E5,83.3,10.4,5.8
ROS1,72.2,31.2,14.4
OR8D2,88.3,6.8,2.9
LRTM2,79.9,31.1,20.8
OR10J5,86.2,7.8,2.3
OR2L3,91.5,2.9,1.6
OR51B2,89.2,3.5,1.0
RRH,85.7,14.2,11.0
PCDHA6,73.7,32.7,28.3
OR6B1,87.2,8.7,3.5
SLC16A5,80.5,21.6,18.2
OR5AP2,88.3,6.3,3.8
KIR2DL1,75.2,37.1,24.7
CLDN22,86.6,13.6,4.1
OR9A4,85.4,10.5,2.5
IL5RA,83.8,22.6,15.2
HCRTR1,78.8,28.5,19.1
OR51I2,90.9,3.2,1.3
SSTR4,77.6,28.1,23.7
OR4K15,83.2,12.0,1.5
OR4D10,90.1,2.9,1.0
OR52J3,88.1,8.0,1.6
CLRN2,91.3,8.2,0.9
BTN1A1,84.2,18.1,11.8
FPR2,84.8,15.7,12.0
HTR6,72.6,39.5,25.9
OR2B3,86.1,7.7,2.6
MSLNL,74.3,29.2,24.8
SLCO2B1,78.3,26.1,16.9
TSHR,74.0,32.5,21.2
OR6M1,91.0,4.8,1.0
OR52W1,87.8,7.5,3.4
OR6S1,86.2,9.1,2.4
OR10G3,87.7,8.9,3.5
OR7G2,85.8,9.0,4.9
OR9A2,85.3,11.9,2.3
OR4D2,89.8,3.6,2.3
OR4N4,86.4,5.7,1.6
OR51F1,86.6,6.9,4.7
OR2L5,90.7,3.8,2.2
EQTN,58.9,71.1,40.5
SLC37A3,84.4,16.8,10.1
OR3A2,85.3,12.1,6.9
OR5A1,88.2,8.9,3.2
SIGLEC5,77.7,27.4,19.4
NPSR1,81.4,25.1,12.9
RXFP2,81.0,22.7,9.5
OR52N1,89.2,5.9,2.2
OR10D4P,90.6,6.4,2.7
SLC22A25,87.8,8.6,2.6
OR7C2,88.5,7.8,2.2
OR2W6P,86.8,9.4,3.5
OR4N5,88.1,4.9,1.3
OR7A10,87.9,13.3,3.2
AQP10,91.3,12.3,6.0
JAG2,72.6,32.6,14.9
OR2L8,91.0,4.8,1.9
OR10Z1,85.9,15.7,3.8
SLC6A6,86.8,15.2,7.6
OR13C5,77.5,29.9,6.3
OR1K1,85.5,9.8,5.1
OR8B4,89.8,6.5,1.3
ENPP1,90.7,10.7,8.9
FSHR,81.8,21.3,12.5
ABCB4,83.2,11.7,8.9
GPR15,81.8,21.9,12.5
OR4K5,85.5,9.3,2.5
SLC6A8,84.6,16.7,11.8
OR10A6,86.5,6.1,1.9
OR51D1,85.3,13.6,3.7
OR6T1,76.4,29.1,8.4
OR2AP1,89.3,6.1,1.0
OR2L13,90.2,5.1,3.2
SLCO6A1,76.7,28.4,20.9
HTR3D,63.4,58.6,26.2
OR5A2,87.5,8.0,6.8
XKR3,76.9,27.7,18.1
OR6V1,87.0,8.0,0.3
OR4C6,90.2,2.3,1.0
LRP6,79.2,21.1,17.0
ERVV-2,46.1,86.0,60.0
TAAR8,91.2,4.4,1.5
OR9Q2,85.2,8.6,2.2
OR10A5,89.1,5.4,1.9
OR1L6,85.6,11.2,3.5
SLC17A1,86.7,11.3,4.3
IMPG2,53.6,65.7,58.2
OR5M9,89.9,2.9,1.6
MANSC4,62.8,59.1,43.5
FAM187B,86.4,12.7,7.6
PCDHB14,81.6,18.0,15.5
MAS1,83.5,18.8,11.1
OR8H3,88.2,7.7,2.9
OTOP1,75.7,31.9,23.0
OR14K1,83.5,15.9,2.2
OR10G2,87.3,10.0,2.6
OR5H15,88.9,8.0,2.9
TP53I13,60.7,66.9,36.6
OR2AK2,87.1,13.7,5.1
PKD1L3,64.8,45.7,27.1
NTSR1,79.6,26.6,20.8
CLEC12B,86.9,13.8,8.3
OR5W2,91.0,4.5,1.0
CDH6,78.7,24.7,18.0
OR2T7,84.2,10.1,2.3
GLRB,78.0,23.1,19.9
OR52I1,85.5,15.1,4.0
OR4D6,88.5,6.1,2.5
OR5M8,90.0,3.2,1.0
MIP,91.0,9.5,7.6
TRPV5,82.5,17.0,13.2
OR2T2,88.1,8.6,4.0
GPR21,83.1,18.6,6.6
GP6,76.0,38.1,24.5
SPAM1,88.2,14.5,10.6
GPR139,77.8,26.9,17.0
OR4L1,85.5,9.6,2.2
SGCZ,80.5,17.4,10.4
OR4D9,88.7,4.1,1.0
GPR42,87.0,14.7,7.5
CLEC1B,88.2,13.5,4.8
OR10H1,87.8,9.7,3.8
RHO,88.7,9.8,4.9
OPN5,84.0,17.8,12.7
OR4F3,90.0,4.5,1.0
OR52E6,80.9,16.9,3.5
CEACAM20,74.0,33.6,31.0
OR56A4,86.4,9.3,1.9
OR10H4,86.9,8.2,1.9
CNTNAP5,84.0,13.5,9.3
OR52L1,85.3,12.2,5.5
OR4K17,86.6,9.9,1.9
GYPA,59.4,75.3,37.3
SLC22A8,86.0,11.3,5.4
IL12RB2,73.0,32.1,22.9
GML,76.3,37.3,2.5
ABCC12,77.8,18.6,10.9
GRM6,85.6,11.3,7.2
OR4K14,85.9,14.2,2.3
TRPV2,78.4,22.1,13.2
OR13H1,87.3,7.8,2.9
OR2M5,85.4,12.2,3.8
SLC22A14,81.2,19.4,12.5
OR8J2,89.2,6.7,1.3
TAAR1,90.1,8.6,2.4
OR5P3,87.1,8.4,3.2
OR52M1,88.4,6.3,2.5
TAS2R8,81.8,16.2,2.9
OR3A1,86.8,10.2,4.8
ITGAM,86.3,9.1,3.5
OR1S2,86.4,9.2,0.3
OR52E1,86.5,5.2,0.6
OR1A1,89.2,6.1,2.6
IL17RA,68.9,43.1,34.9
OTOP2,78.0,25.8,16.0
CHRM5,68.6,42.1,38.0
GRM1,70.9,36.1,33.3
SLC18A3,76.2,28.2,20.3
CD160,75.2,39.2,20.4
OR9K2,86.8,11.0,9.9
KLRF2,82.4,27.1,13.5
OR13D1,80.9,20.2,11.3
OR2B2,79.8,22.1,6.2
AREG,67.7,60.7,21.8
PTCHD3,81.5,17.2,12.4
MPL,72.7,33.7,23.0
SLC13A1,82.0,17.1,9.6
OR51I1,88.7,10.2,2.5
TAS2R3,87.0,9.2,2.8
OR5AK2,84.3,12.6,2.3
OR2A14,83.9,16.5,2.9
SLC15A5,76.3,33.0,14.2
CHRM4,75.4,37.4,23.8
OR4N2,87.5,3.6,2.0
OR4B1,87.0,6.1,1.6
IZUMO3,87.0,10.9,2.5
OR12D2,85.5,12.7,1.0
OR1J1,87.7,12.4,2.8
OR9G4,86.0,11.9,7.3
CLDN24,85.3,17.3,13.2
MCHR2,88.9,7.1,0.9
OR2T11,88.6,3.8,1.3
KLRK1,79.2,30.6,22.2
TAAR2,88.2,10.5,5.1
NCR1,83.9,25.3,13.2
OR2A4,79.3,24.2,3.2
OR2V2,82.4,15.9,3.5
OR4S1,88.8,4.2,1.3
ADAM20,83.0,17.8,6.3
OR2B11,88.5,6.3,2.8
OR51Q1,86.0,9.8,4.7
CXCR2,79.6,23.9,11.4
AMIGO3,73.5,34.1,25.0
OR7E24,85.2,13.3,8.8
OR51V1,87.5,11.5,5.9
OR5B17,85.0,12.1,1.9
OR1E2,85.9,12.4,6.8
OR2H2,89.1,5.4,3.5
OR10X1,86.8,12.0,7.4
OR8I2,89.9,6.8,1.6
OR51G2,87.3,6.4,4.1
ASIC5,84.5,15.2,6.7
OR5AS1,88.2,8.0,1.5
OR2T8,88.7,7.1,1.3
INSR,77.6,25.9,16.4
OR2A1,86.5,9.0,2.6
SLC17A6,78.2,27.1,18.7
SPACA1,71.0,44.6,31.0
OR5B2,90.2,6.1,1.0
OR10K2,87.5,7.7,1.9
OR5AK3P,87.9,7.4,3.0
GPR101,68.8,41.1,31.7
OR1J4,87.4,9.3,3.5
OR8A1,87.0,13.8,7.1
GPR156,55.5,67.0,55.4
OR4K1,83.9,17.0,1.3
CCKAR,77.7,29.4,23.8
HTR1A,77.8,27.7,22.7
OR5AU1,79.9,22.4,16.3
OR14A2,87.0,8.9,1.6
OR2T3,88.2,5.0,3.8
OR4D1,89.5,3.5,1.3
OR5D13,88.7,8.6,3.8
OR13C3,77.8,29.1,15.0
OR2A12,86.6,6.1,1.6
NRG1,56.7,70.5,61.6
SIGLECL1,83.2,20.3,12.7
GPRC6A,84.1,16.4,7.8
ADAM18,78.4,24.9,14.2
OR2F1,88.4,6.0,2.2
GABRR1,74.0,31.7,26.7
OR7D4,87.8,8.7,2.2
OR2T1,80.2,21.1,14.4
SLC10A2,82.7,17.8,8.6
SLC24A5,76.4,27.8,19.4
OR14I1,82.8,19.0,2.3
OR14A16,89.0,4.9,1.3
TAS2R7,84.8,15.7,0.0
GPR32P1,79.0,23.2,12.9
OR1F2P,83.7,14.1,2.2
TAS1R2,86.0,11.6,3.0
OR2G6,88.6,7.3,3.5
OR2C1,82.5,18.3,6.1
OR8J3,89.6,7.6,1.0
ADRB3,78.9,29.2,20.8
OR11H12,78.9,25.8,8.3
GABRR2,76.6,28.0,20.9
OR4F4,91.1,3.3,0.7
OR5I1,89.3,3.5,1.6
OR5P2,79.2,23.9,5.3
OR10H5,88.1,7.3,2.5
GLP1R,81.5,17.3,11.4
DSG3,65.3,48.1,39.4
OR1A2,88.5,4.5,2.9
CLEC9A,84.1,18.7,11.2
CD200,86.6,16.2,3.6
UMOD,82.9,16.2,9.2
OR5AL1,79.7,24.9,9.4
OR13A1,85.6,12.8,7.0
OR5J2,83.6,13.1,1.9
OPN1MW,82.9,17.6,15.1
OR1D5,81.3,22.8,9.3
MRGPRX3,82.0,22.0,12.1
HTR1F,83.4,16.4,6.8
OR2D2,87.5,4.2,1.6
OR2T27,88.7,6.0,3.8
ADAM7,74.9,30.2,21.0
OR56B4,80.9,21.9,6.3
SIGLEC1,76.6,22.9,7.4
GPR55,87.4,9.4,2.2
AGTR2,82.0,25.1,9.6
SLCO1B7,82.3,20.8,11.7
HTR3C,80.4,20.4,15.0
PKDREJ,70.7,34.7,16.7
EPGN,67.0,50.0,22.1
CACNG3,68.1,50.8,28.6
OR52N5,85.5,11.4,5.2
OR2W1,88.5,5.3,2.5
ERVFRD-1,60.8,69.0,22.5
OR10G4,87.9,8.4,1.9
OR56A1,84.5,18.2,3.5
SLC6A18,90.5,7.2,5.6
OR5T3,85.7,11.8,2.1
OR5F1,89.2,7.6,1.9
OR5M10,89.0,6.7,3.8
OR8G1,90.5,5.8,1.9
OR4F5,90.4,3.3,0.7
OR7G1,89.4,4.8,1.6
OR5D14,89.3,6.4,3.8
GLRA3,84.4,17.7,9.3
OR10G9,87.3,8.4,1.0
SLC2A7,87.9,9.2,7.0
OR4Q2,87.8,5.4,3.5
OR4F6,87.5,5.4,1.3
OR10W1,85.9,7.2,0.7
TLR9,86.7,12.2,6.2
GP1BA,64.3,55.5,47.1
ALK,68.2,42.4,27.1
OR5AC2,89.8,5.8,1.9
OR6Q1,86.7,12.0,4.1
GJD2,72.4,34.6,24.0
HTR3B,81.7,19.7,12.2
OR1J2,88.2,8.6,2.9
ABCB5,85.0,10.4,6.4
LPAR4,82.6,19.7,15.7
OR2V1,86.1,10.2,3.2
OR2H1,86.2,12.3,3.8
TRPV6,80.6,21.7,15.8
OR5K4,87.1,10.6,3.1
OR5G3,89.1,8.0,2.5
ART1,84.7,24.5,8.3
OR1L8,86.5,7.4,2.6
OR11H2,85.5,11.7,6.7
KCNV2,75.4,28.1,20.6
SLC26A8,68.6,41.3,32.9
LY6G6F,76.9,31.6,19.2
OR2T33,88.7,6.6,1.9
OR51M1,86.5,8.6,6.7
SLC6A5,73.4,32.9,26.0
GPR50,66.2,48.5,42.5
TMEM95,81.7,18.2,7.4
OR10G7,87.1,10.0,2.9
MEP1B,89.8,10.1,6.4
OR6K6,83.4,14.9,10.2
OR2G2,82.4,16.4,5.0
OR8D4,90.4,5.4,1.3
OR2A25,84.8,11.9,2.6
VN1R2,66.8,47.3,26.8
CD33,77.4,34.9,23.4
FGFRL1,71.3,40.5,25.4
OR11L1,88.5,8.1,1.9
OR10J4,82.7,17.4,3.5
OR6C6,89.7,5.4,2.2
HTR1E,78.5,28.8,17.3
SDC2,60.9,76.1,31.8
CDH24,76.2,31.1,23.4
DSG4,65.0,47.9,38.4
VN1R4,77.9,21.6,7.6
OR5D16,84.7,13.4,7.3
OR2M3,85.1,11.9,3.8
SLC9A6,70.6,36.8,22.8
OR1Q1,88.0,9.9,1.9
OR10J3,75.0,29.5,21.9
OR1C1,87.7,9.2,3.2
KCNMB2,85.5,7.7,2.1
OR10P1,88.2,5.8,1.9
SLC13A3,81.7,17.8,13.1
LRIT1,73.4,32.9,26.5
IGSF5,65.7,52.1,44.7
OR8K3,89.3,5.1,1.3
GPR149,54.0,67.2,60.7
GUCY2C,80.0,21.1,8.4
SLC4A10,71.2,33.5,22.9
SPPL2C,67.1,43.1,32.5
KIR2DS4,81.8,25.0,14.5
OR10G6,85.4,12.7,6.6
OR2AE1,86.3,12.1,2.5
OR4E1,87.1,7.6,5.1
OR7G3,87.5,8.7,3.5
TARM1,84.4,20.3,6.6
KIR3DL1,75.6,34.5,24.8
VSIG2,80.2,30.0,17.1
OR2T10,88.5,6.4,3.2
OR52R1,85.3,6.0,3.5
OR8D1,90.9,5.2,2.3
OR6N2,89.3,8.2,4.1
LYPD4,84.7,17.9,9.8
OR2M4,86.5,9.6,2.6
CHRNA7,78.3,23.3,15.9
AQP2,91.7,11.1,2.2
OR2AT4,89.8,6.6,2.8
UPK1A,86.4,8.5,2.3
OR52N2,89.7,7.8,4.0
OR52N4,89.6,6.2,4.4
CD200R1L,83.1,20.3,10.0
OR5D18,88.5,7.7,1.9
